InChIKey,SMILES,Odors
GUMOJENFFHZAFP-UHFFFAOYSA-N,CCOC1=CC2=CC=CC=C2C=C1,"floral, grape, powdery, orange"
RAPXVKLHABTPOM-UHFFFAOYSA-N,C=CC1=CC=C(C=C1)OCCCCOC2=CC=C(C=C2)C=C,
ULDHMXUKGWMISQ-UHFFFAOYSA-N,CC1=CCC(CC1=O)C(=C)C,minty
KJIOQYGWTQBHNH-UHFFFAOYSA-N,CCCCCCCCCCCO,"citrus, floral, fruity, oily"
HFJRKMMYBMWEAD-UHFFFAOYSA-N,CCCCCCCCCCCC=O,"floral, sweet, waxy, aldehydic, green, soapy, citrus"
LWBHHRRTOZQPDM-UHFFFAOYSA-N,C(CCCCC(=O)O)CCCCC(=O)O,
PGVRSPIEZYGOAD-UHFFFAOYSA-N,C(CCCCC(=O)O)CCCCBr,
IUDGNRWYNOEIKF-UHFFFAOYSA-N,C(CCCCCBr)CCCCC(=O)O,
YYKBWYBUCFHYPR-UHFFFAOYSA-N,C(CCCCCC(=O)O)CCCCCBr,
ZDPHROOEEOARMN-UHFFFAOYSA-N,CCCCCCCCCCC(=O)O,"fatty, coconut, creamy, cheesy, waxy"
NVRVNSHHLPQGCU-UHFFFAOYSA-N,C(CCC(=O)O)CCBr,
BKJFDZSBZWHRNH-UHFFFAOYSA-N,C(CCCC(=O)O)CCCBr,
MWKFXSUHUHTGQN-UHFFFAOYSA-N,CCCCCCCCCCO,"fatty, floral, oily, sweet, waxy, clean, orange"
JFCQEDHGNNZCLN-UHFFFAOYSA-N,C(CC(=O)O)CC(=O)O,odorless
WLJVNTCWHIRURA-UHFFFAOYSA-N,C(CCC(=O)O)CCC(=O)O,
TYFQFVWCELRYAO-UHFFFAOYSA-N,C(CCCC(=O)O)CCC(=O)O,
CXMXRPHRNRROMY-UHFFFAOYSA-N,C(CCCCC(=O)O)CCCC(=O)O,
TVIDDXQYHWJXFK-UHFFFAOYSA-N,C(CCCCCC(=O)O)CCCCC(=O)O,
LODLFUCEWWWXPR-UHFFFAOYSA-N,CCCC(C)C1OCC(CO1)(C)CCC,"spicy, herbal, oily, fresh, green, jasmine"
WVYKHQRCBWWGFK-UHFFFAOYSA-N,CC(C)C1C(COC(O1)(C)C)(C)C,"herbal, fruity, green, woody, earthy"
YIWUKEYIRIRTPP-UHFFFAOYSA-N,CCCCC(CC)CO,"fermented, oily, rose, sweet, floral, fresh, citrus"
SJWFXCIHNDVPSH-UHFFFAOYSA-N,CCCCCCC(C)O,"earthy, floral, green, leafy, musty, spicy, herbal, fresh, woody"
NMRPBPVERJPACX-UHFFFAOYSA-N,CCCCCC(CC)O,"earthy, herbal, mushroom, nutty, oily, musty, fermented, spicy, minty, melon, creamy, green, woody, dairy, citrus, waxy"
WOFPPJOZXUTRAU-UHFFFAOYSA-N,CCCCC(CCC)O,
NGDNVOAEIVQRFH-UHFFFAOYSA-N,CCCCCCCC(C)O,"dairy, fruity, green, musty, waxy, cheesy, creamy, orange, citrus"
NOOLISFMXDJSKH-UHFFFAOYSA-N,CC1CCC(C(C1)O)C(C)C,"minty, musty, mentholic, cooling"
MGSRCZKZVOBKFT-UHFFFAOYSA-N,CC1=CC(=C(C=C1)C(C)C)O,"herbal, medicinal, phenolic, spicy, sweet, chemical, camphoreous"
WBYWAXJHAXSJNI-VOTSOKGWSA-N,C1=CC=C(C=C1)/C=C/C(=O)O,"balsamic, sweet"
ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,CCCCCCC(=O)C,"apple, cheesy, fatty, fruity, green, musty, natural, weedy, herbal, woody, earthy, dairy, ketonic"
RHLVCLIPMVJYKS-UHFFFAOYSA-N,CCCCCC(=O)CC,"cheesy, earthy, fruity, herbal, sweet, musty, fermented, vegetable, mushroom, lavender, fresh, green, ketonic"
IYTXKIXETAELAV-UHFFFAOYSA-N,CCCCCCC(=O)CC,"fruity, grassy, green, herbal, sweet, spicy, leafy, floral, fresh, jasmine"
ZAJNGDIORYACQU-UHFFFAOYSA-N,CCCCCCCCC(=O)C,"floral, orange, peach, fatty"
LSKONYYRONEBKA-UHFFFAOYSA-N,CCCCCCCCCCC(=O)C,"citrus, floral, fruity, orange"
UHEPJGULSIKKTP-UHFFFAOYSA-N,CC(=CCCC(=O)C)C,"green, herbal, oily, musty, banana, fruity, cheesy, apple, creamy, citrus, ketonic"
TZJLGGWGVLADDN-UHFFFAOYSA-N,CC(=O)CCC1=CC2=C(C=C1)OCO2,"berry, cherry, floral, sweet, woody, fruity, powdery, jammy, raspberry"
DSSYKIVIOFKYAU-UHFFFAOYSA-N,CC1(C2CCC1(C(=O)C2)C)C,"camphoreous, fresh, minty"
TVQGDYNRXLTQAP-UHFFFAOYSA-N,CCCCCCC(=O)OCC,"cognac, fruity, winey, sweet, rummy, estery, berry, banana, pineapple, green"
BYEVBITUADOIGY-UHFFFAOYSA-N,CCCCCCCCC(=O)OCC,"cognac, fatty, grape, nutty, oily, waxy, natural, rose, fruity, tropical, rummy"
NUKZAGXMHTUAFE-UHFFFAOYSA-N,CCCCCC(=O)OC,"apple, ethereal, fruity, pineapple, banana, strawberry, apricot"
XNCNNDVCAUWAIT-UHFFFAOYSA-N,CCCCCCC(=O)OC,"apple, berry, fruity, green, orris, waxy, sweet, floral"
IJXHLVMUNBOGRR-UHFFFAOYSA-N,CCCCCCCCC(=O)OC,"coconut, fruity, green, nutty, winey, sweet, pear, tropical, waxy"
GRLJIIJNZJVMGP-UHFFFAOYSA-N,CCCC(=O)SC,"cheesy, cocoa, fruity, milky, sweet, sulfurous, garlic, cabbage, tomato"
FZWLAAWBMGSTSO-UHFFFAOYSA-N,C1=CSC=N1,"meaty, nutty, fishy"
IOJUPLGTWVMSFF-UHFFFAOYSA-N,C1=CC=C2C(=C1)N=CS2,"beefy, burnt, coffee, sulfurous, vegetable, meaty, nutty, brown, cooked"
SIKJAQJRHWYJAI-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CN2,"animal, cheesy, floral, musty, pungent"
ZMQAAUBTXCXRIC-UHFFFAOYSA-N,C=CCC1=CC2=C(C=C1)OCO2,"aromatic, spicy, sweet, anise, warm, floral, woody"
HUMNYLRZRPPJDN-UHFFFAOYSA-N,C1=CC=C(C=C1)C=O,"almond, sweet, cherry, nutty, fruity, powdery, sharp"
NEHNMFOYXAPHSD-UHFFFAOYSA-N,CC(CCC=C(C)C)CC=O,"sweet, dry, aldehydic, floral, herbal, rose, green, citrus, waxy"
KVWWIYGFBYDJQC-UHFFFAOYSA-N,CCCCCC1C(CCC1=O)CC(=O)OC,"floral, fruity, jasmine, natural, oily, green, tropical, lactonic"
LVBXEMGDVWVTGY-VOTSOKGWSA-N,CCCCC/C=C/C=O,"fatty, green, vegetable, leafy, banana, herbal, cucumber, fresh, waxy"
DVVATNQISMINCX-YTXTXJHMSA-N,CCC/C=C/C=C/C=O,"citrus, fatty, fruity, green, melon, pear"
LCLLDHVSJPTTSF-UHFFFAOYSA-N,CC(C)CC(C)CC=C(C)C=O,
LHXDLQBQYFFVNW-XCBNKYQSSA-N,C[C@]12CC[C@H](C1)C(C2=O)(C)C,"camphoreous, minty, sweet, mentholic, herbal, terpenic, pine, cooling, fresh, balsamic, cedar, earthy, woody"
CZCBTSFUTPZVKJ-ZJUUUORDSA-N,C[C@@H]1CCO[C@H](C1)C=C(C)C,
DSSYKIVIOFKYAU-OIBJUYFYSA-N,C[C@]12CC[C@H](C1(C)C)CC2=O,
WAPNOHKVXSQRPX-SSDOTTSWSA-N,C[C@H](C1=CC=CC=C1)O,"floral, earthy, green"
OFJWFSNDPCAWDK-VIFPVBQESA-N,CC[C@@H](C1=CC=CC=C1)C(=O)O,
OFJWFSNDPCAWDK-SECBINFHSA-N,CC[C@H](C1=CC=CC=C1)C(=O)O,
QQZOPKMRPOGIEB-UHFFFAOYSA-N,CCCCC(=O)C,"cheesy, dairy, fruity, ketonic, buttery, meaty"
BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O,"alcoholic, fermented, oily, solvent, winey, sweet, fruity, apricot"
CETWDUZRCINIHU-SSDOTTSWSA-N,CCCCC[C@@H](C)O,"sweet, fruity, fatty, oily"
ACBMYYVZWKYLIP-UHFFFAOYSA-N,CCCCCC(C)(C)O,
SJWFXCIHNDVPSH-QMMMGPOBSA-N,CCCCCC[C@H](C)O,"mushroom, fatty, grape, oily, creamy"
BTANRVKWQNVYAZ-BYPYZUCNSA-N,CC[C@H](C)O,"winey, oily"
CETWDUZRCINIHU-ZETCQYMHSA-N,CCCCC[C@H](C)O,"mushroom, fatty, oily, cheesy"
WAPNOHKVXSQRPX-ZETCQYMHSA-N,C[C@@H](C1=CC=CC=C1)O,"floral, strawberry, hyacinth"
RJUFJBKOKNCXHH-UHFFFAOYSA-N,CCC(=O)OC,"ethereal, fruity, rummy, strawberry, apple, fresh"
JAELLLITIZHOGQ-UHFFFAOYSA-N,CCC(=O)OC(C)(C)C,"brandy, fruity, rummy"
HUAZGNHGCJGYNP-UHFFFAOYSA-N,CCCC(=O)OCCC,"fruity, sweet, pineapple, apricot, ethereal"
KDSNLYIMUZNERS-UHFFFAOYSA-N,CC(C)CN,"cheesy, fishy, malty, ripe"
DLRJIFUOBPOJNS-UHFFFAOYSA-N,CCOC1=CC=CC=C1,"anisic, sweet"
CXBDYQVECUFKRK-UHFFFAOYSA-N,CCCCOC,
NZGWDASTMWDZIW-MRVPVSSYSA-N,C[C@@H]1CCC(=C(C)C)C(=O)C1,"herbal, minty, sweet, metallic, sulfurous, camphoreous, fresh"
BMFVGAAISNGQNM-UHFFFAOYSA-N,CC(C)CCN,cheesy
JBFHTYHTHYHCDJ-UHFFFAOYSA-N,CCC1CCC(=O)O1,"coumarinic, creamy, sweet, herbal, coconut, tobacco"
KWKAKUADMBZCLK-UHFFFAOYSA-N,CCCCCCC=C,gasoline
SJWKGDGUQTWDRV-UHFFFAOYSA-N,CCCCCCC(=O)OCC=C,"apple, banana, fruity, pineapple, sweet, fermented, ripe, cognac, waxy"
HMKKIXGYKWDQSV-SDNWHVSQSA-N,CCCCC/C(=C\C1=CC=CC=C1)/C=O,floral
WRFZKAGPPQGDDQ-UHFFFAOYSA-N,CCCCCC(=O)OCCCCC,"apple, fruity, green, pear, pineapple, waxy, sweet, estery, fatty, cognac"
QUKGYYKBILRGFE-UHFFFAOYSA-N,CC(=O)OCC1=CC=CC=C1,"floral, fruity, jasmine, sweet, fresh"
ZCTQGTTXIYCGGC-UHFFFAOYSA-N,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,"balsamic, sweet, clean, herbal, oily"
YPQSPODHFDGVAC-UHFFFAOYSA-N,CCCCCCC(=O)OCCCC,"apple, fruity, green, herbal, winey, oily, grassy, pear, tropical"
DSSYKIVIOFKYAU-XCBNKYQSSA-N,C[C@@]12CC[C@@H](C1(C)C)CC2=O,"medicinal, mentholic, herbal, camphoreous, cooling, phenolic, green, woody, minty"
HQKQRXZEXPXXIG-DTWJZALFSA-N,C[C@@H]1CC[C@@H]2[C@]13CC[C@@]([C@H](C3)C2(C)C)(C)OC(=O)C,
QMVPMAAFGQKVCJ-UHFFFAOYSA-N,CC(CCC=C(C)C)CCO,"sweet, spicy, fatty, floral, rose, geranium, powdery, fresh, lemon, citrus, waxy"
RFDUMBPGZUIKOG-UHFFFAOYSA-N,CCCCCCCOC(=O)C(C)C,"fruity, herbal, tropical, sweet, estery, warm, floral, pineapple, apricot, apple, green, cherry, peach"
GUUHFMWKWLOQMM-NTCAYCPXSA-N,CCCCCC/C(=C\C1=CC=CC=C1)/C=O,"floral, jasmine, sweet"
KGEKLUUHTZCSIP-FOGDFJRCSA-N,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,
UPPSFGGDKACIKP-UHFFFAOYSA-N,CC1=CC=C(C=C1)OC(=O)C(C)C,"animal, fruity, warm, floral, green, lily"
FDJBDZVTTXWIQM-UHFFFAOYSA-N,CC1=CC=CC=C1OC(=O)C(C)C,"berry, fruity, medicinal, phenolic"
OJEQSSJFSNLMLB-UHFFFAOYSA-N,CC1=CC=C(C=C1)OC(=O)CC2=CC=CC=C2,"animal, rose, honey, lily, hyacinth"
VKJIAEQRKBQLLA-UHFFFAOYSA-N,CC1=NC=CN=C1OC,"hazelnut, nutty, roasted, chocolate"
XXIKYCPRDXIMQM-UHFFFAOYSA-N,CC(=CCOC(=O)C)C,"apple, banana, fruity, green, sweet, ripe, fresh, balsamic, jasmine"
ZMANZCXQSJIPKH-UHFFFAOYSA-N,CCN(CC)CC,"cheesy, fishy, ripe"
ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,CCCC=O,"cocoa, fruity, green, malty, musty, bready, pungent, chocolate"
HGEVGSTXQGZPCL-UHFFFAOYSA-N,C(CCCC(=O)Cl)CCCC(=O)Cl,
WKOLLVMJNQIZCI-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C(=O)O)O,"odorless, sweet, vanilla, powdery, creamy, phenolic, brown, milky, dairy"
IXQGCWUGDFDQMF-UHFFFAOYSA-N,CCC1=CC=CC=C1O,"phenolic, sweet"
BHUIUXNAPJIDOG-UHFFFAOYSA-N,C1OC2=C(O1)C=C(C=C2)CO,"sweet, vanilla, powdery"
VXIXUWQIVKSKSA-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CC(=O)O2)O,
AZOCECCLWFDTAP-UHFFFAOYSA-N,CC1CCC(CC1=O)C(=C)C,"minty, warm, herbal, terpenic, cooling, camphoreous, woody, hay"
ACZGCWSMSTYWDQ-UHFFFAOYSA-N,C1C2=CC=CC=C2OC1=O,
MWVFCEVNXHTDNF-UHFFFAOYSA-N,CCCC(=O)C(=O)C,"buttery, creamy, sweet, dry, fatty, caramellic, fruity, oily, jammy, phenolic"
NGAZZOYFWWSOGK-UHFFFAOYSA-N,CCCCC(=O)CC,"banana, fatty, fruity, green, sweet, musty, cheesy, ketonic"
KVFQMAZOBTXCAZ-UHFFFAOYSA-N,CCC(=O)C(=O)CC,"buttery, caramellic, nutty"
MSTDXOZUKAQDRL-UHFFFAOYSA-N,C1COC2=CC=CC=C2C1=O,
HJWLCRVIBGQPNF-UHFFFAOYSA-N,C=CCC1=CC=CC=C1,
NORZZKKLCYMBBF-UHFFFAOYSA-N,CCCCOC(=O)C(C)OC(=O)CCC,"buttery, fruity, sour, sweet, fatty, creamy, green, dairy, cheesy, waxy"
NMJJFJNHVMGPGM-UHFFFAOYSA-N,CCCCOC=O,"ethereal, plum, rummy, fruity, brandy"
ZVEZMVFBMOOHAT-UHFFFAOYSA-N,CCCCCCCCCS,
IPBVNPXQWQGGJP-UHFFFAOYSA-N,CC(=O)OC1=CC=CC=C1,"jasmine, metallic, animal, medicinal, smoky, burnt, phenolic, woody"
MMFCJPPRCYDLLZ-UHFFFAOYSA-N,CCCCCCCC=CC=O,"aldehydic, fatty, rose, floral, orange, green"
KGEKLUUHTZCSIP-UHFFFAOYSA-N,CC(=O)OC1CC2CCC1(C2(C)C)C,"herbal, pine, sweet, cedar, spicy, mentholic, camphoreous, balsamic, woody"
JRFITZGBELIFQM-UHFFFAOYSA-N,CC(=C)C1CCC2(OC(C1)OO2)C,
IGIDLTISMCAULB-UHFFFAOYSA-N,CCC(C)CC(=O)O,"cheesy, animal, fruity, acidic, green, sharp"
OVBFMEVBMNZIBR-UHFFFAOYSA-N,CCCC(C)C(=O)O,"cheesy, creamy, dairy, pungent, sour"
KRKNYBCHXYNGOX-UHFFFAOYSA-N,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,odorless
WPYMKLBDIGXBTP-UHFFFAOYSA-N,C1=CC=C(C=C1)C(=O)O,balsamic
XIYPXOFSURQTTJ-NSCUHMNNSA-N,CC(=O)/C=C/C1=CC2=C(C=C1)OCO2,
KCDXJAYRVLXPFO-UHFFFAOYSA-N,COC1=CC(=CC(=C1O)OC)C=O,"balsamic, floral, smoky, sweet, vanilla, green, woody, chocolate"
OTMFQLIUPDESAI-UHFFFAOYSA-N,CCOC1=C(C=C(C=C1)CC=C)OC,"herbal, musty, spicy, sweet, tea, warm"
QGNDNDFXCNBMKI-FPLPWBNLSA-N,CCCCCC/C=C\CCC=O,
YBBNUDDZOWRHOD-WAYWQWQTSA-N,CCCC/C=C\CCCCC=O,
QPULDJYQYDGZEI-WAYWQWQTSA-N,CCCC/C=C\CCC=O,
CRPUJAZIXJMDBK-BDAKNGLRSA-N,CC1([C@H]2CC[C@H](C2)C1=C)C,"woody, fresh, terpenic"
KRCZYMFUWVJCLI-OPRDCNLKSA-N,C[C@@H]1CC[C@H](C[C@H]1O)C(=C)C,
CCEFMUBVSUDRLG-IDKOKCKLSA-N,CC(=C)[C@H]1CCC2(C(C1)O2)C,minty
RUMOYJJNUMEFDD-SNVBAGLBSA-N,CC(=C)[C@H]1CCC(=CC1)C=O,"fatty, herbal, spicy, oily, grassy, fresh, green, cherry, minty"
CRPUJAZIXJMDBK-DTWKUNHWSA-N,CC1([C@@H]2CC[C@@H](C2)C1=C)C,"herbal, camphoreous, fresh, woody"
KRCZYMFUWVJCLI-GUBZILKMSA-N,C[C@H]1CC[C@@H](C[C@@H]1O)C(=C)C,
CCEFMUBVSUDRLG-UHFFFAOYSA-N,CC(=C)C1CCC2(C(C1)O2)C,"citrus, fruity, herbal, sweet, clean, fresh, minty"
RUMOYJJNUMEFDD-JTQLQIEISA-N,CC(=C)[C@@H]1CCC(=CC1)C=O,
LJSQFQKUNVCTIA-UHFFFAOYSA-N,CCSCC,"garlic, meaty, savory, sulfurous, tomato, ethereal"
ALVZNPYWJMLXKV-UHFFFAOYSA-N,C(CCCCO)CCCCO,
VADKRMSMGWJZCF-UHFFFAOYSA-N,C1=CC=C(C(=C1)O)Br,
DHXVGJBLRPWPCS-UHFFFAOYSA-N,C1CCOCC1,"sweet, pungent, ethereal"
QCHZKUPVENJLAW-FYWRMAATSA-N,CCCCC/C(=C\C1=CC=CC=C1)/C(OC)OC,"floral, green, jasmine"
HEVMDQBCAHEHDY-UHFFFAOYSA-N,COC(C1=CC=CC=C1)OC,"almond, green, nutty, sweet, vegetable, floral, potato, winey, fruity, earthy, sharp"
RWOZGGOKRKSHKN-UHFFFAOYSA-N,CC1=C(C(=C(C(=C1C)C)C=O)C)C,
BGTBFNDXYDYBEY-UHFFFAOYSA-N,CC=CC(=O)C1=C(CCCC1(C)C)C,"plum, floral, rose, honey, fruity, tobacco"
OHDFENKFSKIFBJ-UHFFFAOYSA-N,CC1=C(C=CO1)SSC2=C(OC=C2)C,"meaty, sulfurous, chicken, savory, onion, roasted"
SWUIQEBPZIHZQS-UHFFFAOYSA-N,CC1=CC2=C(C=C1)OCC(=O)CO2,"fresh, green, melon, clean, marine, ozone, phenolic"
HQKQRXZEXPXXIG-UHFFFAOYSA-N,CC1CCC2C13CCC(C(C3)C2(C)C)(C)OC(=O)C,
RTNPCOBSXBGDMO-ARJAWSKDSA-N,CC/C=C\CCCCC=O,"citrus, cucumber, fresh, vegetable, melon, green, woody, orris, waxy"
TXWOGHSRPAYOML-UHFFFAOYSA-N,C1CC(C1)C(=O)O,
VOATZOQREKBJMT-UHFFFAOYSA-N,CCC(=C)CCCC(C)(C)O,
GVOWHGSUZUUUDR-UHFFFAOYSA-N,CNC1=CC=CC=C1C(=O)OC,"floral, musty, orange, sweet, fruity, powdery, phenolic"
JSNRRGGBADWTMC-UHFFFAOYSA-N,CC(=CCCC(=CCCC(=C)C=C)C)C,
HZPKNSYIDSNZKW-UHFFFAOYSA-N,CCCC(C)C(=O)OCC,"fruity, green, melon, pear, pineapple, waxy, natural, fatty, fresh"
CETBSQOFQKLHHZ-UHFFFAOYSA-N,CCSSCC,"alliaceous, fruity, garlic, onion, sulfurous, tropical, vegetable, ripe"
YIKYNHJUKRTCJL-UHFFFAOYSA-N,CCC1=C(C(=O)C=CO1)O,"caramellic, fruity, sweet, strawberry"
FVUGZKDGWGKCFE-UHFFFAOYSA-N,CC1CC2=C(CC1(C)C(=O)C)C(CCC2)(C)C,"dry, cedar, phenolic, woody, ketonic"
NUPSHWCALHZGOV-UHFFFAOYSA-N,CCCCCCCCCCOC(=O)C,"fatty, fruity, orange, pineapple, rose, sweet, clean, creamy, fresh, soapy, citrus, waxy"
OGJYXQFXLSCKTP-LCYFTJDESA-N,CC(C)C(=O)OC/C=C(/C)\CCC=C(C)C,"floral, rose, sweet, strawberry, melon, fruity, pear, fresh, raspberry, green, citrus"
AVBRYQRTMPHARE-UHFFFAOYSA-N,CCCCCCCCOC=O,"citrus, fruity, green, orange, orris, rose, cucumber, waxy"
TWSRVQVEYJNFKQ-UHFFFAOYSA-N,CCCCCOC(=O)CC,"apple, banana, fruity, pineapple, sweet, tropical, apricot"
PFWYHTORQZAGCA-UHFFFAOYSA-N,CC(=O)OCC1=CC2=C(C=C1)OCO2,"cherry, floral, sweet, metallic, strawberry, jammy, powdery, hawthorn, jasmine, soapy, aromatic"
WYURNTSHIVDZCO-UHFFFAOYSA-N,C1CCOC1,
SSNZFFBDIMUILS-ZHACJKMWSA-N,CCCCCCCCC/C=C/C=O,"orange, waxy, metallic, aldehydic, herbal, citrus"
ACWQBUSCFPJUPN-HWKANZROSA-N,C/C=C(\C)/C=O,"almond, fruity, green, herbal"
GRHQDJDRGZFIPO-UHFFFAOYSA-N,C(CC(=O)O)CBr,
WNXNUPJZWYOKMW-UHFFFAOYSA-N,C(CCBr)CC(=O)O,
VLFBSPUPYFTTNF-UHFFFAOYSA-N,CC(CC1=CC=C(C=C1)OC)C=O,"sweet, anise, anisic, raspberry, green"
MNRZECIRFMLTEY-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(C=C1)OCC=O,
YGCZTXZTJXYWCO-UHFFFAOYSA-N,C1=CC=C(C=C1)CCC=O,"balsamic, floral, green, aldehydic, leafy, cortex, melon, fresh"
NHFRGTVSKOPUBK-UHFFFAOYSA-N,C1=CC=C(C=C1)CCCC=O,
SQGBBDFDRHDJCJ-UHFFFAOYSA-N,CC(CCO)C1=CC=CC=C1,
RWGFKTVRMDUZSP-UHFFFAOYSA-N,CC(C)C1=CC=CC=C1,
FINOPSACFXSAKB-UHFFFAOYSA-N,C1=CC=C(C=C1)CCCCC=O,
NFLGAXVYCFJBMK-DTWKUNHWSA-N,C[C@H]1CC[C@@H](C(=O)C1)C(C)C,"minty, mentholic"
BAVONGHXFVOKBV-YHMJZVADSA-N,CC1=CC[C@H](CC1O)C(=C)C,
GSOHKPVFCOWKPU-UHFFFAOYSA-N,CC(C(=O)C)C(=O)C,"burnt, fruity, ketonic"
IGMOYJSFRIASIE-UHFFFAOYSA-N,CC(C)CC(=O)CC(=O)C,
GJYXGIIWJFZCLN-UHFFFAOYSA-N,CCCCC(=O)CC(=O)C,
KFBXUKHERGLHLG-UHFFFAOYSA-N,CCCCCC(=O)CC(=O)C,
ZFNVDHOSLNRHNN-UHFFFAOYSA-N,CC(C)C1=CC=C(C=C1)CC(C)C=O,"musty, floral, fresh, green"
JFTSYAALCNQOKO-UHFFFAOYSA-N,CCC1=CC=C(C=C1)CC(C)(C)C=O,"aldehydic, floral, clean, marine, ozone, fresh, green"
DYUQAZSOFZSPHD-UHFFFAOYSA-N,CCC(C1=CC=CC=C1)O,"balsamic, floral, rose, sweet"
XPDORSROGAZEGY-UHFFFAOYSA-N,COC1=CC=C(C=C1)COC=O,"floral, green, spicy, sweet, vanilla, fruity, anisic, powdery"
NFAVNWJJYQAGNB-UHFFFAOYSA-N,CCCCCCCCCC(C)C=O,"dry, fatty, fruity, metallic, aldehydic, amber, fresh, coumarinic, citrus, waxy"
VLUMOWNVWOXZAU-UHFFFAOYSA-N,CC(=CC1=CC=CC=C1)C=O,"sweet, spicy, warm, cinnamon, balsamic"
XHJJEWBMBSQVCJ-UHFFFAOYSA-N,CC1=CC(=O)CC(C1)C(C)C,
DFJMIMVMOIFPQG-UHFFFAOYSA-N,CC(CCC1=CC=CC=C1)CC=O,"aldehydic, fresh, green, lily, woody, waxy"
HEPHYCJJLAUKSB-UHFFFAOYSA-N,CC(CC1=CC=CC=C1)C=O,
SGVBCLGVIOFAFT-UHFFFAOYSA-N,CC1=CC=C(C=C1)CC(C)C=O,"almond, balsamic, cherry, citrus, floral, fruity, green, melon, sweet, dry, aldehydic, amber, powdery, fresh, orange, woody"
VSBHYRPUJHEOBE-UHFFFAOYSA-N,CC1=C(C(=O)C=CO1)OC(=O)C(C)C,"caramellic, strawberry, sweet, berry, fruity, burnt, jammy, tropical"
XWEOGMYZFCHQNT-UHFFFAOYSA-N,CCOC(=O)CC1(OCCO1)C,"apple, fruity, pine, sweet, woody, plum, green, tropical"
VSRVCSJJKWDZSH-UHFFFAOYSA-N,CCCCCC1COCCC1OC(=O)C,"floral, herbal, jasmine, sweet, tea, mushroom, oily, green, lactonic"
XCWPXUNHSPOFGV-UHFFFAOYSA-N,CC(C)CCOCC(=O)OCC=C,"apple, fruity, green, herbal, pineapple"
UWKAYLJWKGQEPM-UHFFFAOYSA-N,CC(=CCCC(C)(C=C)OC(=O)C)C,"citrus, floral, fruity, pear, sweet, lavender, green, bergamot, woody"
UOGMZEGKCNHMBF-UHFFFAOYSA-N,COC1CC2CC1C3C2CC(C3)C=O,"aldehydic, marine, floral, ozone, fresh, woody"
NKZPGPZCKPODMT-UHFFFAOYSA-N,CC(CC=O)C1=CC=C(C=C1)C(C)(C)C,"floral, powdery, muguet, green"
RECUKUPTGUEGMW-UHFFFAOYSA-N,CC1=C(C=C(C=C1)C(C)C)O,"herbal, medicinal, phenolic, smoky, spicy, camphoreous, cooling, woody"
WSTQLNQRVZNEDV-CSKARUKUSA-N,CCCCCC(/C(=C/CC)/C)O,"fruity, violet, oily, green, lily"
GFVWSUIPAJYAEG-UHFFFAOYSA-N,CC(C)(C)C1CCCCC1OCCCCO,
HGDVHRITTGWMJK-UHFFFAOYSA-N,CC(C)CCCC(C)(C)O,"citrus, floral, fresh, herbal, woody"
VPKMGDRERYMTJX-CMDGGOBGSA-N,CCC(=O)/C=C/C1C(=CCCC1(C)C)C,"floral, oily, orris, sweet, violet, woody, tea, fruity, powdery"
CRIGTVCBMUKRSL-FNORWQNLSA-N,C/C=C/C(=O)C1C(=CCCC1(C)C)C,"apple, minty, plum, rose, sweet, berry, floral, fruity, green, woody"
ZALVGSSYVAPZDA-UHFFFAOYSA-N,CCCCCCCCC(OC(=O)C)OC(=O)C,
GPMLJOOQCIHFET-UHFFFAOYSA-N,CC1CC(CO1)(C)C2=CC=CC=C2,"aromatic, floral, fresh, herbal, citrus, green, woody, grapefruit"
CHLICZRVGGXEOD-UHFFFAOYSA-N,CC1=CC=C(C=C1)OC,"floral, green, leathery, nutty, phenolic, sharp, sweet, powdery"
XMLSXPIVAXONDL-PLNGDYQASA-N,CC/C=C\CC1=C(CCC1=O)C,"floral, fruity, jasmine, spicy, herbal, woody, celery, citrus"
BVWTXUYLKBHMOX-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C(=O)OC)O,"floral, fresh, green, spicy, sweet, vanilla, warm, phenolic"
NNWHUJCUHAELCL-SNAWJCMRSA-N,C/C=C/C1=CC(=C(C=C1)OC)OC,"floral, spicy, sweet, tea, clove"
ZGEHHVDYDNXYMW-UPHRSURJSA-N,C1CCC/C=C\CCCCCCC(=O)CCC1,"dry, animal, floral, tobacco, balsamic, musk, waxy"
KHQDWCKZXLWDNM-KPKJPENVSA-N,CC/C(=C\CC1CC=C(C1(C)C)C)/CO,
NKMKFQCVDZVEJR-CSKARUKUSA-N,CC1C/C=C/CCCCCCCCCC(=O)C1,"animal, musk, soapy"
DEFJQIDDEAULHB-QWWZWVQMSA-N,C[C@H](C(=O)N[C@H](C)C(=O)O)N,
