InChIKey,SMILES,Odors
UXFSPRAGHGMRSQ-UHFFFAOYSA-N,CC(C)CC1=NC=CN=C1OC,green
NQPDZGIKBAWPEJ-UHFFFAOYSA-N,CCCCC(=O)O,"cheesy, sour, fruity, acidic, tobacco, milky, sharp"
BSAIUMLZVGUGKX-BQYQJAHWSA-N,CCCCCC/C=C/C=O,"cucumber, fatty, melon, orris, waxy, aldehydic, green, citrus"
JLIDVCMBCGBIEY-UHFFFAOYSA-N,CCC(=O)C=C,"alliaceous, pungent, radish, spicy, peppery, garlic, onion, ethereal"
INAXVXBDKKUCGI-UHFFFAOYSA-N,CC1C(=O)C(=C(O1)C)O,"caramellic, fruity, pineapple, roasted, strawberry, sweet, savory, burnt, brown"
CLUWOWRTHNNBBU-UHFFFAOYSA-N,CSCCC=O,"meaty, onion, potato, tomato, vegetable, musty, savory, oily, brothy, creamy, bready, earthy"
GETQZCLCWQTVFV-UHFFFAOYSA-N,CN(C)C,"fishy, pungent, fruity, oily"
WXCMHFPAUCOJIG-UHFFFAOYSA-N,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C,"dry, fatty, floral, powdery, soapy, musk"
SIMKGHMLPVDSJE-UHFFFAOYSA-N,CC1C(=O)C(=C(O1)C)OC,"caramellic, fruity, sweet, winey, vegetable, musty, meaty, mushroom, potato, cocoa, coffee, brandy"
PPJSYGVFDJEMRP-UHFFFAOYSA-N,CCC1=NC=CN=C1C(=O)C,"earthy, hazelnut, meaty, nutty, popcorn, potato, musty"
KVFIJIWMDBAGDP-UHFFFAOYSA-N,CCC1=NC=CN=C1,"buttery, musty, nutty, fermented, meaty, cocoa, coffee, roasted, woody"
WTOYNNBCKUYIKC-JMSVASOKSA-N,C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C,"sweet, orange, citrus, woody, grapefruit"
BOPPSUHPZARXTH-UHFFFAOYSA-N,CC(CC1=CC2=C(C=C1)OCO2)C=O,"floral, green, hay, melon, ozone, fresh"
BAVONGHXFVOKBV-UHFFFAOYSA-N,CC1=CCC(CC1O)C(=C)C,"sweet, spicy, herbal, cooling, green, minty"
GJWSUKYXUMVMGX-UHFFFAOYSA-N,CC(CCC=C(C)C)CC(=O)O,"fatty, floral, green, waxy, vegetable, smoky, grassy, tobacco"
NFLGAXVYCFJBMK-BDAKNGLRSA-N,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,"sweet, anise, mentholic, herbal, camphoreous, cooling, fresh, green, minty"
ZWRUINPWMLAQRD-UHFFFAOYSA-N,CCCCCCCCCO,"fatty, floral, orange, rose, clean, oily, fresh"
YTHRBOFHFYZBRJ-JHJMLUEUSA-N,CC1=CC[C@H](CC1OC(=O)C)C(=C)C,
FBUKVWPVBMHYJY-UHFFFAOYSA-N,CCCCCCCCC(=O)O,"cheesy, dairy, fatty, nutty, waxy"
VSMOENVRRABVKN-UHFFFAOYSA-N,CCCCCC(C=C)O,"earthy, mushroom, sweet, vegetable, chicken, oily, green"
CZUGFKJYCPYHHV-UHFFFAOYSA-N,CSCCCO,"meaty, mushroom, sweet, vegetable, sulfurous, savory, onion, cooked"
KFUSEUYYWQURPO-UHFFFAOYSA-N,C(=CCl)Cl,
WPFVBOQKRVRMJB-UHFFFAOYSA-N,CC(CCCC(C)(C)O)CC=O,"floral, sweet, melon, green, lily, tropical, waxy"
DNRJTBAOUJJKDY-UHFFFAOYSA-N,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,"sweet, fruity, amber, powdery, musk"
IKTHMQYJOWTSJO-UHFFFAOYSA-N,CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C,"animal, cedar, woody, musk"
MIZGSAALSYARKU-UHFFFAOYSA-N,CC1C(C2=C(C1(C)C)C(=O)CCC2)(C)C,"spicy, clean, woody, musk"
WTEVQBCEXWBHNA-UHFFFAOYSA-N,CC(=CCCC(=CC=O)C)C,"lemon, sweet, sharp"
QMVPMAAFGQKVCJ-SNVBAGLBSA-N,C[C@H](CCC=C(C)C)CCO,"rose, leafy, floral, oily"
HLCSDJLATUNSSI-JXMROGBWSA-N,CC(=CCC/C(=C/C#N)/C)C,"fruity, green, lemon, sweet, metallic, sharp"
QUNOTZOHYZZWKQ-UHFFFAOYSA-N,CC1=NC=CN=C1C(=O)C,"cocoa, coffee, hazelnut, nutty, popcorn, roasted, vegetable, caramellic"
WNLRTRBMVRJNCN-UHFFFAOYSA-N,C(CCC(=O)O)CC(=O)O,odorless
KDYFGRWQOYBRFD-UHFFFAOYSA-N,C(CC(=O)O)C(=O)O,odorless
NJGBTKGETPDVIK-UHFFFAOYSA-N,CC(=O)CCC1=CC=C(C=C1)O,"fruity, sweet, ripe, berry, floral, jammy, raspberry, woody"
WQAQPCDUOCURKW-UHFFFAOYSA-N,CCCCS,"beefy, cheesy, garlic, meaty, onion, roasted, savory, sulfurous, fatty, coffee"
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,CCCCCCO,"fatty, fruity, winey, sweet, pungent, herbal, oily, green, ethereal, alcoholic"
BBMCTIGTTCKYKF-UHFFFAOYSA-N,CCCCCCCO,"fatty, fresh, green, sweet, musty, vegetable, leafy, banana, herbal, fruity, violet, apple, woody, pungent"
AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,"alcoholic, solvent, sweet, fermented, winey, oily, bready, balsamic, pungent"
GTGTXZRPJHDASG-UHFFFAOYSA-N,CCCCCCC(C(=O)O)Br,
HZTPKMIMXLTOSK-UHFFFAOYSA-N,CCCCC(C(=O)O)Br,
JARKCYVAAOWBJS-UHFFFAOYSA-N,CCCCCC=O,"fatty, fruity, grassy, green, vegetable, aldehydic, clean, leafy, fresh, woody"
WLJVXDMOQOGPHL-UHFFFAOYSA-M,C1=CC=C(C=C1)CC(=O)[O-],
RFFOTVCVTJUTAD-UHFFFAOYSA-N,CC(C)C12CCC(O1)(CC2)C,"camphoreous, fresh, pine, herbal, terpenic, cooling, green, minty"
FTZILAQGHINQQR-UHFFFAOYSA-N,CCCC(C)C=O,"cheesy, cocoa, fruity, green, vegetable, ethereal"
WMFATTFQNRPXBQ-UHFFFAOYSA-N,CCCC(C(=O)O)Br,
ULDHMXUKGWMISQ-SECBINFHSA-N,CC1=CC[C@H](CC1=O)C(=C)C,"sweet, herbal, minty"
ZSKAJFSSXURRGL-PKNBQFBNSA-N,CC(=CCC/C(=C/C(OC)OC)/C)C,"citrus, lemon"
RDOXTESZEPMUJZ-UHFFFAOYSA-N,COC1=CC=CC=C1,"anisic, sweet, gasoline, anise, phenolic, ethereal"
MLFHJEHSLIIPHL-UHFFFAOYSA-N,CC(C)CCOC(=O)C,"banana, fruity, pear, sweet, solvent, estery, ripe"
QMVPMAAFGQKVCJ-JTQLQIEISA-N,C[C@@H](CCC=C(C)C)CCO,"citrus, floral, fruity, green, rose, sweet, powdery, geranium, waxy"
RWRDLPDLKQPQOW-UHFFFAOYSA-N,C1CCNC1,"animal, fishy"
NEHNMFOYXAPHSD-SNVBAGLBSA-N,C[C@H](CCC=C(C)C)CC=O,"citrus, fresh, green, lemon, woody, herbal"
YAQLSKVCTLCIIE-UHFFFAOYSA-N,CCC(C(=O)O)Br,
WLAMNBDJUVNPJU-UHFFFAOYSA-N,CCC(C)C(=O)O,"cheesy, fruity, pungent, fermented, acidic"
POIARNZEYGURDG-FNORWQNLSA-N,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,"apple, floral, fruity, plum, rose, tea, tobacco, sweet, natural, grape, raspberry, green, woody, earthy"
JZQKTMZYLHNFPL-BLHCBFLLSA-N,CCCCC/C=C/C=C/C=O,"citrus, fatty, chicken, melon, cucumber, nutty, oily, brothy"
HZYHMHHBBBSGHB-ODYTWBPASA-N,CC/C=C\CC/C=C/C=O,"cucumber, green, leafy, melon, violet, dry, vegetable, fatty"
UZFLPKAIBPNNCA-BQYQJAHWSA-N,CC1=CCCC(C1/C=C/C(=O)C)(C)C,"balsamic, violet, woody, sweet, floral, fruity, tropical, orris"
HZYHMHHBBBSGHB-KPDBFRNYSA-N,CC/C=C\CC/C=C\C=O,
CWRKZMLUDFBPAO-SREVYHEPSA-N,CCCCC/C=C\CCC=O,"aldehydic, orange, citrus"
UZFFFFWQKMPLAC-ARJAWSKDSA-N,CC/C=C\CCCCCC=O,"aldehydic, citrus, cucumber"
BGTBFNDXYDYBEY-FNORWQNLSA-N,C/C=C/C(=O)C1=C(CCCC1(C)C)C,"honey, plum, rose, tobacco, berry, floral, fruity, woody, minty"
KMRMUZKLFIEVAO-IUCAKERBSA-N,CC1([C@H]2CC=C([C@@H]1C2)C=O)C,
FQTLCLSUCSAZDY-SDNWHVSQSA-N,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,"floral, green, woody, citrus, waxy"
PSQYTAPXSHCGMF-BQYQJAHWSA-N,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,"fruity, violet, woody, sweet, berry, floral, tropical"
HIGQPQRQIQDZMP-UHFFFAOYSA-N,CC(=CCCC(=CCOC(=O)C)C)C,
CWRKZMLUDFBPAO-VOTSOKGWSA-N,CCCCC/C=C/CCC=O,"citrus, fresh, fruity, orange, aldehydic, fatty, green"
QKTZBZWNADPFOL-BNFZFUHLSA-N,CCCCCCC/C=C/C=C/C=O,"fatty, grapefruit, meaty, orange, citrus"
ZHHYXNZJDGDGPJ-BSWSSELBSA-N,CCCC/C=C/C=C/C=O,"chicken, fatty, nutty, melon, cucumber, green, waxy"
CXENHBSYCFFKJS-VDQVFBMKSA-N,CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,"apple, berry, citrus, green, herbal, vegetable, floral, lavender, bergamot, woody"
GHVNFZFCNZKVNT-UHFFFAOYSA-N,CCCCCCCCCC(=O)O,"cheesy, dairy, fatty, waxy, citrus, sour"
