group,n_molecules,n_receptors,receptors,molecule,SMILES,InChIKey,odor_tags,n_tags,unique_tags
G25,2,5,O76001; P34982; P47890; Q9P1Q5; Q9Y3N9,SML0466,CCCCOC,CXBDYQVECUFKRK-UHFFFAOYSA-N,,0,floral; jasmine; sweet
G25,2,5,O76001; P34982; P47890; Q9P1Q5; Q9Y3N9,SML0481,CCCCCC/C(=C\C1=CC=CC=C1)/C=O,GUUHFMWKWLOQMM-NTCAYCPXSA-N,jasmine; sweet; floral,3,floral; jasmine; sweet
G26,2,5,O76001; P34982; Q8NGI8; Q8NGI9; Q9Y3N9,SML0181,CC/C=C\CC/C=C\C=O,HZYHMHHBBBSGHB-KPDBFRNYSA-N,,0,fatty; fruity; musk; sweet; warm; waxy
G26,2,5,O76001; P34982; Q8NGI8; Q8NGI9; Q9Y3N9,SML0669,C1CCC/C=C\CCCCCCOC(=O)CCC1,QILMAYXCYBTEDM-IWQZZHSRSA-N,fatty; warm; sweet; waxy; fruity; musk,6,fatty; fruity; musk; sweet; warm; waxy
G32,2,3,O76001; P34982; Q9Y3N9,SML0594,CC1CC(CO1)(C)C2=CC=CC=C2,GPMLJOOQCIHFET-UHFFFAOYSA-N,herbal; aromatic; citrus; floral; grapefruit; fresh; green; woody,8,aromatic; citrus; floral; fresh; grapefruit; green; herbal; woody
G32,2,3,O76001; P34982; Q9Y3N9,SML0633,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,YZXBAPSDXZZRGB-DOFZRALJSA-N,,0,aromatic; citrus; floral; fresh; grapefruit; green; herbal; woody
G33,2,3,O76001; P47890; Q9Y3N9,SML0011,CCC(CC)O,AQIXEPGDORPWBJ-UHFFFAOYSA-N,herbal; oily; fermented; nutty; sweet; fruity; ethereal,7,citrus; clean; ethereal; fermented; fresh; fruity; herbal; minty; nutty; oily; sweet
G33,2,3,O76001; P47890; Q9Y3N9,SML0525,CC(=C)C1CCC2(C(C1)O2)C,CCEFMUBVSUDRLG-UHFFFAOYSA-N,minty; clean; herbal; citrus; sweet; fresh; fruity,7,citrus; clean; ethereal; fermented; fresh; fruity; herbal; minty; nutty; oily; sweet
G34,2,3,O76001; Q8NGN3; Q8NHB7,SML0008,CC1=CN=C(C=N1)C,LCZUOKDVTBMCMX-UHFFFAOYSA-N,powdery; musty; chocolate; nutty; earthy; roasted; woody; cocoa; medicinal; grassy,10,chocolate; cocoa; earthy; grassy; green; hazelnut; meaty; medicinal; musty; nutty; potato; powdery; roasted; vegetable; woody
G34,2,3,O76001; Q8NGN3; Q8NHB7,SML0068,CCC1=NC=C(N=C1CC)C,PSINWXIDJYEXLO-UHFFFAOYSA-N,musty; hazelnut; potato; chocolate; nutty; meaty; earthy; roasted; green; vegetable,10,chocolate; cocoa; earthy; grassy; green; hazelnut; meaty; medicinal; musty; nutty; potato; powdery; roasted; vegetable; woody
G35,2,3,Q8NGN6; Q8TCB6; Q9H344,SML0510,CCCC(C)C(=O)O,OVBFMEVBMNZIBR-UHFFFAOYSA-N,cheesy; pungent; dairy; creamy; sour,5,cheesy; creamy; dairy; pungent; sour
