group_id,mol_a,mol_b,n_receptors,jaccard
G023,SML0417,SML0442,9,0.19047619047619047
G023,SML0417,SML0712,9,0.19047619047619047
G023,SML0442,SML0712,9,0.125
G024,SML0240,SML0244,8,0.38461538461538464
G024,SML0240,SML0330,8,0.2
G024,SML0244,SML0330,8,0.06666666666666667
G025,SML0457,SML0703,5,0.0
G026,SML0122,SML0132,1,0.2222222222222222
G027,SML0271,SML0288,3,0.25
G027,SML0271,SML0514,3,0.3
G027,SML0288,SML0514,3,0.08333333333333333
G028,SML0013,SML0071,8,0.4
G028,SML0013,SML0486,8,0.3
G028,SML0071,SML0486,8,0.125
G029,SML0182,SML0470,5,0.0
G030,SML0266,SML0492,2,0.2857142857142857
G031,SML0390,SML0599,1,0.25
G031,SML0390,SML0601,1,0.5
G031,SML0599,SML0601,1,0.25
G032,SML0020,SML0036,10,0.4444444444444444
G032,SML0020,SML0039,10,0.3
G032,SML0036,SML0039,10,0.6666666666666666
G033,SML0257,SML0493,4,0.0
G033,SML0257,SML0585,4,0.0
G033,SML0493,SML0585,4,0.0
G034,SML0179,SML0190,4,0.08333333333333333
G035,SML0068,SML0745,2,0.3333333333333333
G036,SML0139,SML0685,5,0.1
G037,SML0065,SML0421,6,0.0
G038,SML0133,SML0153,13,0.25
G040,SML0427,SML0588,8,0.125
G042,SML0128,SML0302,1,0.2222222222222222
G043,SML0291,SML0356,2,0.1
G045,SML0280,SML0473,3,0.0
G047,SML0472,SML0481,4,0.3333333333333333
G049,SML0616,SML0748,5,0.0
G051,SML0060,SML0336,10,0.11764705882352941
G052,SML0704,SML0717,10,0.25
G056,SML0344,SML0465,12,0.0
G057,SML0050,SML0246,1,0.4
G058,SML0035,SML0445,11,0.0
G061,SML0425,SML0436,8,0.11764705882352941
G062,SML0543,SML0550,2,0.14285714285714285
G063,SML0008,SML0028,3,0.26666666666666666
G064,SML0007,SML0160,4,0.16666666666666666
G065,SML0198,SML0235,2,0.0
G066,SML0256,SML0314,3,0.47058823529411764
