inchikey,smiles_can,in_m2or,m2or_id,in_leffingwell,leffingwell_id,in_goodscents,goodscents_id,skeleton,in_chembl,in_chembl_skeleton,is_odorant,chembl_id
OPVSKLFHWQRZKR-UHFFFAOYSA-N,CCCC=CC(=O)OCCCC,0,,1,575426,0,,OPVSKLFHWQRZKR,0,0,1,
UQLYLJOCUOEHOM-UHFFFAOYSA-N,CCCCCCCCCOC(=O)CCCCC,0,,1,576021,0,,UQLYLJOCUOEHOM,0,0,1,
SQFRYZPEWOZAKJ-UHFFFAOYSA-N,CC(=O)CCC1=C(C)C=CCC1(C)C,0,,1,577126,1,577126,SQFRYZPEWOZAKJ,0,0,1,
MNWSBFYOBQCIME-UHFFFAOYSA-N,CCOC(=S)c1ccccc1,0,,1,578278,0,,MNWSBFYOBQCIME,0,0,1,
LWKWNIYBQLKBMQ-UHFFFAOYSA-N,CCCC(=O)OC(C)(C)C1CC=C(C)CC1,0,,1,578423,1,578423,LWKWNIYBQLKBMQ,1,1,1,CHEMBL4159021
PBBZXNLEMPGGCH-UHFFFAOYSA-N,Cc1cnc(CC(C)C)c(C)n1,0,,1,578817,0,,PBBZXNLEMPGGCH,0,0,1,
VSYLEWGIVLSDIY-UHFFFAOYSA-N,CC1=C(CCC(C)O)C(C)(C)CCC1,0,,1,579336,1,579336,VSYLEWGIVLSDIY,0,0,1,
DVLGEHCERRWDIX-UHFFFAOYSA-N,CCn1cccc1C=O,0,,1,579338,1,579338,DVLGEHCERRWDIX,0,0,1,
SQWQZVDNBPEROH-UHFFFAOYSA-N,CC(=O)c1oc(C)cc1C,0,,1,579675,1,579675,SQWQZVDNBPEROH,0,0,1,
ZZILRVYYTFVLGI-UHFFFAOYSA-N,CCCCCCCC(=O)OC(C)CCC,0,,1,581239,0,,ZZILRVYYTFVLGI,0,0,1,
XRADSECIALQFFY-UHFFFAOYSA-N,CC1=CCC(C(C)(C)OC(=O)CC(C)C)CC1,0,,1,585911,1,585911,XRADSECIALQFFY,0,0,1,
HSGQXSBXGSRINJ-UHFFFAOYSA-N,CCCCCCCCCOC(=O)CCCCCCC,0,,1,589365,1,589365,HSGQXSBXGSRINJ,0,0,1,
AILGMPPHXLHASV-UHFFFAOYSA-N,C1CSSSS1,0,,1,593529,0,,AILGMPPHXLHASV,0,0,1,
CDIKGISJRLTLRA-UHFFFAOYSA-N,CC1COC(c2ccccc2)O1,0,,1,595928,1,595928,CDIKGISJRLTLRA,0,0,1,
HXVTYMWVMVKVTF-UHFFFAOYSA-N,COC(=O)Cc1ccc(C(C)(C)C)cc1,0,,1,605629,1,605629,HXVTYMWVMVKVTF,0,0,1,
HZYHMHHBBBSGHB-DYWGDJMRSA-N,CC/C=C/CC/C=C/C=O,0,,1,636687,1,636687,HZYHMHHBBBSGHB,0,1,1,
LDHQCZJRKDOVOX-NSCUHMNNSA-N,C/C=C/C(=O)O,0,,1,637090,1,637090,LDHQCZJRKDOVOX,1,1,1,CHEMBL1213528
JIGCTXHIECXYRJ-ILWBRPEASA-N,CC(=O)OC/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,0,,1,637195,1,637195,JIGCTXHIECXYRJ,1,1,1,CHEMBL3356397
ZQPPMHVWECSIRJ-MDZDMXLPSA-N,CCCCCCCC/C=C/CCCCCCCC(=O)O,0,,1,637517,0,,ZQPPMHVWECSIRJ,1,1,1,CHEMBL460657
JTCIUOKKVACNCK-BJMVGYQFSA-N,C/C=C(\C)C(=O)OCCCCCC,0,,1,637523,0,,JTCIUOKKVACNCK,0,0,1,
BATOPAZDIZEVQF-MQQKCMAXSA-N,C/C=C/C=C/C=O,0,,1,637564,1,637564,BATOPAZDIZEVQF,1,1,1,CHEMBL1576086
BWHOZHOGCMHOBV-BQYQJAHWSA-N,CC(=O)/C=C/c1ccccc1,0,,1,637759,0,,BWHOZHOGCMHOBV,1,1,1,CHEMBL73639
MXXWOMGUGJBKIW-YPCIICBESA-N,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,0,,1,638024,1,638024,MXXWOMGUGJBKIW,1,1,1,CHEMBL43185
YIYBQIKDCADOSF-ONEGZZNKSA-N,CC/C=C/C(=O)O,0,,1,638122,1,638122,YIYBQIKDCADOSF,1,1,1,CHEMBL115668
MCVVUJPXSBQTRZ-ONEGZZNKSA-N,C/C=C/C(=O)OC,0,,1,638132,1,638132,MCVVUJPXSBQTRZ,1,1,1,CHEMBL3273387
IEPRKVQEAMIZSS-AATRIKPKSA-N,CCOC(=O)/C=C/C(=O)OCC,0,,1,638144,0,,IEPRKVQEAMIZSS,1,1,1,CHEMBL3187857
