pattern,tag,obs,exp,obs_exp,p
100,milky,4,1.76,2.2767295597484276,0.0616820022171663
100,strawberry,2,1.76,1.1383647798742138,0.5670432888457391
100,dry,0,1.76,0.0,1.0
100,medicinal,0,1.76,0.0,1.0
100,terpenic,0,1.76,0.0,1.0
100,jasmin,0,1.76,0.0,1.0
100,roasted,0,1.76,0.0,1.0
100,coffee,0,1.76,0.0,1.0
100,cinnamon,1,1.76,0.5691823899371069,0.8792433662767027
100,cucumber,1,1.46,0.6830188679245284,0.8272100200382088
100,coumarinic,1,1.46,0.6830188679245284,0.8272100200382088
100,buttery,4,1.46,2.7320754716981135,0.02635367804295075
100,almond,1,1.46,0.6830188679245284,0.8272100200382088
100,chicken,0,1.46,0.0,1.0
100,onion,0,1.46,0.0,1.0
100,hay,0,1.46,0.0,1.0
100,orris,2,1.46,1.3660377358490567,0.4579411112488968
100,acidic,5,1.46,3.415094339622642,0.0018742093238092695
100,winey,4,1.46,2.7320754716981135,0.02635367804295075
111,sweet,8,4.28,1.8708010335917313,0.011717336471001125
111,fruity,3,3.23,0.9282051282051282,0.6891973076271719
111,floral,6,2.78,2.1547619047619047,0.026200012746314814
111,green,1,2.59,0.38675213675213677,0.956347159451008
111,fatty,0,1.94,0.0,1.0
111,waxy,1,1.94,0.5156695156695157,0.8936141239425223
111,woody,2,1.44,1.3869731800766283,0.43829337449132355
111,fresh,1,1.44,0.6934865900383141,0.8002820887080262
111,herbal,1,1.14,0.8743961352657004,0.7143767646130568
111,balsamic,1,1.09,0.914141414141414,0.6972393704898401
111,citrus,2,1.04,1.9153439153439151,0.2802971442107736
111,spicy,3,0.94,3.175438596491228,0.05512714133988187
111,cheesy,0,0.85,0.0,1.0
111,rose,2,0.8,2.513888888888889,0.1829407910380525
111,powdery,0,0.8,0.0,1.0
111,creamy,1,0.75,1.3407407407407408,0.5493959179811185
111,tropical,1,0.7,1.4365079365079365,0.5237285968534608
111,sour,0,0.7,0.0,1.0
111,banana,0,0.7,0.0,1.0
111,oily,0,0.65,0.0,1.0
111,apple,0,0.65,0.0,1.0
111,vegetable,0,0.65,0.0,1.0
111,aldehydic,0,0.65,0.0,1.0
111,nutty,0,0.6,0.0,1.0
111,musk,2,0.55,3.656565656565656,0.09576372946950595
111,dairy,0,0.55,0.0,1.0
111,pineapple,0,0.55,0.0,1.0
111,coconut,0,0.5,0.0,1.0
111,sulfurous,0,0.5,0.0,1.0
111,sharp,0,0.5,0.0,1.0
111,earthy,0,0.5,0.0,1.0
111,odorless,0,0.5,0.0,1.0
111,pear,1,0.45,2.2345679012345676,0.37485844465968804
111,pungent,0,0.45,0.0,1.0
111,honey,0,0.45,0.0,1.0
111,animal,0,0.45,0.0,1.0
111,plum,0,0.4,0.0,1.0
111,berry,0,0.4,0.0,1.0
111,tobacco,0,0.4,0.0,1.0
111,phenolic,1,0.4,2.513888888888889,0.3405518958910124
111,camphoreous,0,0.4,0.0,1.0
111,musty,0,0.4,0.0,1.0
111,meaty,0,0.4,0.0,1.0
111,minty,1,0.4,2.513888888888889,0.3405518958910124
111,jasmine,0,0.4,0.0,1.0
111,pine,0,0.35,0.0,1.0
111,burnt,0,0.35,0.0,1.0
111,melon,0,0.35,0.0,1.0
111,cherry,0,0.35,0.0,1.0
111,orange,1,0.35,2.873015873015873,0.3045819993032495
111,milky,0,0.3,0.0,1.0
111,strawberry,0,0.3,0.0,1.0
111,dry,1,0.3,3.3518518518518516,0.26687861372330524
111,medicinal,0,0.3,0.0,1.0
111,terpenic,0,0.3,0.0,1.0
111,jasmin,0,0.3,0.0,1.0
111,roasted,0,0.3,0.0,1.0
111,coffee,0,0.3,0.0,1.0
111,cinnamon,0,0.3,0.0,1.0
111,cucumber,0,0.25,0.0,1.0
111,coumarinic,0,0.25,0.0,1.0
111,buttery,0,0.25,0.0,1.0
111,almond,0,0.25,0.0,1.0
111,chicken,0,0.25,0.0,1.0
111,onion,0,0.25,0.0,1.0
111,hay,0,0.25,0.0,1.0
111,orris,0,0.25,0.0,1.0
111,acidic,0,0.25,0.0,1.0
111,winey,0,0.25,0.0,1.0
011,sweet,34,31.83,1.0680319333564734,0.3037172340532216
011,fruity,25,24.06,1.0390355912743972,0.4424718291242344
011,floral,23,20.73,1.10954157782516,0.27659973876660293
011,green,22,19.25,1.142939150401837,0.2211715007446931
011,fatty,9,14.44,0.6234213547646383,0.9886195318997756
011,waxy,4,14.44,0.2770761576731726,0.9999951740770093
011,woody,16,10.73,1.4904786412763766,0.024057778376534274
011,fresh,13,10.73,1.211013896037056,0.22789331814628835
011,herbal,14,8.51,1.644386761842959,0.011613348658278837
011,balsamic,8,8.14,0.9823609226594302,0.6132659035398895
011,citrus,5,7.77,0.6432125088841506,0.9461196549454433
011,spicy,12,7.03,1.7062058130400628,0.013632583140910214
011,cheesy,2,6.29,0.31782265144863914,0.9969826772678105
011,rose,7,5.92,1.1819029850746268,0.3708442312571577
011,powdery,6,5.92,1.0130597014925373,0.5828155381517776
011,creamy,1,5.55,0.18009950248756218,0.9993251474352689
011,tropical,5,5.18,0.9648187633262261,0.645210318003823
011,sour,0,5.18,0.0,1.0
011,banana,4,5.18,0.7718550106609808,0.8332629476035622
011,oily,4,4.81,0.8312284730195179,0.7795336248607795
011,apple,6,4.81,1.2468427095292767,0.334695382982798
011,vegetable,7,4.81,1.4546498277841562,0.1570617511295299
011,aldehydic,3,4.81,0.6234213547646383,0.920573097060584
011,nutty,4,4.44,0.900497512437811,0.7134052276388932
011,musk,4,4.07,0.9823609226594302,0.6343318847344207
011,dairy,0,4.07,0.0,1.0
011,pineapple,0,4.07,0.0,1.0
011,coconut,0,3.7,0.0,1.0
011,sulfurous,7,3.7,1.891044776119403,0.03173645294560098
011,sharp,2,3.7,0.5402985074626866,0.9377862061385821
011,earthy,5,3.7,1.3507462686567164,0.2897996330818263
011,odorless,0,3.7,0.0,1.0
011,pear,2,3.33,0.6003316749585407,0.9076464061617505
011,pungent,5,3.33,1.5008291873963515,0.20200494293238883
011,honey,6,3.33,1.800995024875622,0.06472597288054112
011,animal,3,3.33,0.900497512437811,0.7138503091144601
011,plum,6,2.96,2.0261194029850746,0.030646709043846195
011,berry,6,2.96,2.0261194029850746,0.030646709043846195
011,tobacco,5,2.96,1.6884328358208955,0.1257388484591401
011,phenolic,4,2.96,1.3507462686567164,0.3351679650285375
011,camphoreous,5,2.96,1.6884328358208955,0.1257388484591401
011,musty,4,2.96,1.3507462686567164,0.3351679650285375
011,meaty,6,2.96,2.0261194029850746,0.030646709043846195
011,minty,6,2.96,2.0261194029850746,0.030646709043846195
011,jasmine,5,2.96,1.6884328358208955,0.1257388484591401
011,pine,4,2.59,1.5437100213219617,0.2304534067438388
011,burnt,5,2.59,1.9296375266524521,0.06630626132458141
011,melon,3,2.59,1.1577825159914712,0.5151461120803634
011,cherry,3,2.59,1.1577825159914712,0.5151461120803634
011,orange,1,2.59,0.3859275053304904,0.9633546276614557
011,milky,0,2.22,0.0,1.0
