SMILES,pattern
CCCCCCCC/C=C/C=O,011
CCCCCCCCC(=O)O,100
CCCCCCCCC(=O)OC,100
CCCCCCCCC=O,100
CCCCCCCCCC(=O)O,100
CCCCCCCCCC=O,100
CCCCCCCCCCC(=O)O,100
CCCCCCCCCCC=O,100
CCCCCCCCCCCC(=O)O,100
CCCCCCCCCCCC=O,100
CCCCCCCCCCCCCC(=O)O,100
CCCCCCCCCCCCCCC(=O)O,100
CCCCCCCCCCCCCCCC(=O)O,100
CCCCCCCCCCCCCCCCCC(=O)O,100
CCCCCCOC(=O)C,010
CCCCCOC(=O)C,011
CCCCCOC(=O)CC,010
CCCCOC(=O)C,010
CCCCOC(=O)C1=CC=CC=C1N,011
CCOC(=O)/C=C/C1=CC=CC=C1,011
CCOC(=O)C1=CC=CC=C1,011
CCOC(=O)CC1=CC=CC=C1,011
CN(C)C(=NCCC[C@@H](C(=O)O)N)N,100
COC(=O)/C=C/C1=CC=CC=C1,010
COC(=O)C1=CC=CC=C1,011
COC(=O)C1=CN=CC=C1,011
COC1=C(C=CC(=C1)C(=O)O)O,100
COC1=C(C=CC(=C1)CCC(=O)CC(=O)CCC2=CC(=C(C=C2)O)OC)O,100
COC1CC2CC1C3C2CC(C3)C=O,010
CSCC1=CC=CC=C1,011
CSCC1=CC=CO1,011
CSSCC1=CC=CC=C1,011
CSSCC1=CC=CO1,011
C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C,111
C[C@@H]1CCO[C@H](C1)C=C(C)C,011
C[C@@H]1CC[C@@H]2[C@]13CC[C@@]([C@H](C3)C2(C)C)(C)OC(=O)C,111
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,111
C[C@@]12CC[C@@H](C1(C)C)CC2=O,011
C[C@H](C(=O)N[C@H](C)C(=O)O)N,100
C[C@H]1CC(C2=C(C1(C)C)C[C@@]3([C@H](C2)O3)C)(C)C,011
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,111
C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,111
C[C@]12CC[C@H](C1(C)C)CC2=O,011
C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CCC4=CC(=O)CC[C@]34C,111
C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CC[C@@H]4[C@@]3(CCC(=O)C4)C,111
C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34CO,111
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@H]34,111
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,111
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=CC(=O)CC[C@]34C,111
C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,111
