node,tag,obs,exp,obs_exp,p
1,cherry,7,4.21,1.6640624999999998,0.026459625623589455
1,onion,5,4.21,1.1886160714285714,0.41988918495075184
1,pine,7,4.21,1.6640624999999998,0.026459625623589455
1,chicken,5,4.21,1.1886160714285714,0.41988918495075184
1,winey,1,4.21,0.23772321428571427,0.9986183594441489
1,cinnamon,5,3.61,1.38671875,0.23104299647371382
1,jasmin,6,3.61,1.6640625,0.04489461068920507
1,strawberry,4,3.61,1.109375,0.5462942949797367
1,cucumber,4,3.61,1.109375,0.5462942949797367
1,terpenic,6,3.61,1.6640625,0.04489461068920507
1,dry,6,3.61,1.6640625,0.04489461068920507
1,orris,3,3.61,0.83203125,0.8253967779237358
1,caramellic,3,3.0,0.9984375000000001,0.6858455364517363
1,cocoa,4,3.0,1.33125,0.33612676264238817
1,metallic,2,3.0,0.665625,0.9162158398340846
1,almond,4,3.0,1.33125,0.33612676264238817
1,coumarinic,4,3.0,1.33125,0.33612676264238817
1,hay,5,3.0,1.6640625,0.07591934165328985
1,cooling,4,3.0,1.33125,0.33612676264238817
1,grassy,2,3.0,0.665625,0.9162158398340846
1,amber,4,3.0,1.33125,0.33612676264238817
1,cabbage,2,3.0,0.665625,0.9162158398340846
1,potato,4,3.0,1.33125,0.33612676264238817
1,peach,2,3.0,0.665625,0.9162158398340846
1,savory,2,3.0,0.665625,0.9162158398340846
1,grape,4,3.0,1.33125,0.33612676264238817
1,lemon,3,3.0,0.9984375000000001,0.6858455364517363
1,apricot,2,3.0,0.665625,0.9162158398340846
1,leafy,4,3.0,1.33125,0.33612676264238817
2,sweet,33,32.75,1.0077419354838708,0.5276792221075346
2,fruity,24,27.46,0.8738461538461538,0.8814898744371452
2,green,18,22.54,0.7987500000000001,0.9437543942864144
2,floral,19,20.42,0.930344827586207,0.7306030616063821
2,fatty,26,18.66,1.3932075471698113,0.012374060878998056
2,waxy,28,15.85,1.767111111111111,2.9005156902792477e-05
2,fresh,7,13.03,0.5372972972972972,0.9949104933685056
2,woody,3,10.92,0.27483870967741936,0.9999105027163684
2,herbal,3,9.86,0.3042857142857143,0.9996640061230487
2,citrus,8,9.15,0.8738461538461539,0.7630367310247184
2,oily,7,8.45,0.8283333333333334,0.8106731789476225
2,balsamic,6,8.1,0.7408695652173913,0.8871495284336832
2,cheesy,14,7.75,1.8072727272727271,0.004005578215213099
2,creamy,13,7.39,1.758095238095238,0.008096474201943328
2,spicy,3,7.04,0.426,0.9912247308767683
2,vegetable,3,6.69,0.44842105263157894,0.987201257859451
2,rose,7,6.69,1.046315789473684,0.5296984845349125
2,aldehydic,6,6.34,0.9466666666666667,0.6600663387472422
2,tropical,6,6.34,0.9466666666666667,0.6600663387472422
2,nutty,4,6.34,0.6311111111111111,0.9330743875727455
2,powdery,5,5.99,0.8352941176470589,0.7811222033729766
2,dairy,11,5.99,1.8376470588235296,0.009732129244388375
2,sour,14,5.63,2.4850000000000003,1.1677644288099672e-05
2,apple,3,5.28,0.5680000000000001,0.9466435040513447
2,banana,4,4.93,0.8114285714285715,0.7930754083756142
2,sulfurous,1,4.58,0.21846153846153848,0.9971259163745472
2,musk,5,4.23,1.1833333333333333,0.4218895616833571
2,pineapple,8,4.23,1.8933333333333335,0.023071945410090413
2,pungent,4,4.23,0.9466666666666668,0.6647359775017936
2,earthy,1,4.23,0.2366666666666667,0.9954151523117776
2,coconut,10,4.23,2.3666666666666667,0.0006429771082889228
2,odorless,10,3.87,2.5818181818181816,0.0001512230236107753
2,musty,2,3.87,0.5163636363636364,0.9457055432413297
2,sharp,6,3.87,1.549090909090909,0.14615429979016553
2,orange,4,3.87,1.0327272727272727,0.5837871722289814
2,burnt,1,3.52,0.284,0.9884346540167785
2,meaty,0,3.52,0.0,1.0
2,pear,4,3.52,1.136,0.4930076654136697
2,buttery,5,3.52,1.42,0.2486938790792791
2,animal,4,3.52,1.136,0.4930076654136697
2,milky,6,3.52,1.704,0.0921861001643163
