smiles_id,cluster,class_group,inchikey,row,in_universe
SML0118,4,shared,QPJVMBTYPHYUOC-UHFFFAOYSA-N,724284,True
SML0119,0,shared,RMBFBMJGBANMMK-UHFFFAOYSA-N,724489,True
SML0120,0,shared,ONKNPOPIGWHAQC-UHFFFAOYSA-N,723781,True
SML0121,4,,CIEKNJJOENYFQL-UHFFFAOYSA-N,720999,True
SML0122,4,,IAEGWXHKWJGQAZ-UHFFFAOYSA-N,722167,True
SML0123,4,shared,NTOPKICPEQUPPH-UHFFFAOYSA-N,723598,True
SML0124,4,shared,UXFSPRAGHGMRSQ-UHFFFAOYSA-N,725099,True
SML0125,2,Class I only,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,723569,True
SML0126,1,,BSAIUMLZVGUGKX-BQYQJAHWSA-N,720849,True
SML0127,3,,JLIDVCMBCGBIEY-UHFFFAOYSA-N,722494,True
SML0128,0,,INAXVXBDKKUCGI-UHFFFAOYSA-N,722279,True
SML0130,5,,GETQZCLCWQTVFV-UHFFFAOYSA-N,721715,True
SML0131,1,,WXCMHFPAUCOJIG-UHFFFAOYSA-N,725616,True
SML0132,4,,SIMKGHMLPVDSJE-UHFFFAOYSA-N,724700,True
SML0133,4,shared,PPJSYGVFDJEMRP-UHFFFAOYSA-N,724037,True
SML0134,3,Class II only,KVFIJIWMDBAGDP-UHFFFAOYSA-N,722829,True
SML0135,0,shared,WTOYNNBCKUYIKC-JMSVASOKSA-N,725572,True
SML0136,0,shared,BOPPSUHPZARXTH-UHFFFAOYSA-N,720824,True
SML0137,4,shared,BAVONGHXFVOKBV-UHFFFAOYSA-N,720687,True
SML0138,2,Class I only,GJWSUKYXUMVMGX-UHFFFAOYSA-N,721777,True
SML0139,1,,NFLGAXVYCFJBMK-BDAKNGLRSA-N,723451,True
SML0140,3,shared,ZWRUINPWMLAQRD-UHFFFAOYSA-N,726382,True
SML0141,4,shared,YTHRBOFHFYZBRJ-JHJMLUEUSA-N,726071,True
SML0142,0,shared,FBUKVWPVBMHYJY-UHFFFAOYSA-N,721460,True
SML0143,1,shared,VSMOENVRRABVKN-UHFFFAOYSA-N,725283,True
SML0145,4,shared,KFUSEUYYWQURPO-UHFFFAOYSA-N,722696,True
