SML,SMILES,InChIKey,Odors
SML0094,CC(=CCC/C(=C/C=O)/C)C,WTEVQBCEXWBHNA-JXMROGBWSA-N,"lemon, citrus, fresh, fruity"
SML0095,CCCCCCCCCC=O,KSMVZQYAVGTKIV-UHFFFAOYSA-N,"citrus, sweet, floral, waxy, aldehydic, orange"
SML0096,CC(=O)C(=O)C,QSJXEFYPDANLFS-UHFFFAOYSA-N,"pungent, buttery, sweet, caramellic, creamy"
SML0097,C=CCSCC=C,UBJVUCKUDDKUJF-UHFFFAOYSA-N,"pungent, metallic, sweet, onion, garlic, horseradish, sulfurous"
SML0098,C1=CC=C(C=C1)OC2=CC=CC=C2,USIUVYZYUHIAEV-UHFFFAOYSA-N,"geranium, phenolic, metallic, floral, green"
SML0099,C1CCCCCC(=O)OCCOC(=O)CCCCC1,XRHCAGNSDHCHFJ-UHFFFAOYSA-N,"powdery, fatty, oily, sweet, floral, woody, musk"
SML0100,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,SCCDQYPEOIRVGX-UHFFFAOYSA-N,"clove, spicy, balsamic, sweet, floral, malty, fresh, woody, fruity"
SML0101,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,LHXDLQBQYFFVNW-OIBJUYFYSA-N,"herbal, sweet, camphoreous, earthy, pine, woody"
SML0102,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CCC4=CC(=O)CC[C@]34C,HNDHDMOSWUAEAW-VMXHOPILSA-N,
SML0103,CC(=CCC/C(=C/COC(=O)C)/C)C,HIGQPQRQIQDZMP-DHZHZOJOSA-N,"lavender, sweet, floral, rose, green, waxy, fruity"
SML0104,COC1=CC=CC=C1O,LHGVFZTZFXWLCP-UHFFFAOYSA-N,"spicy, phenolic, smoky, meaty, sweet, savory, woody, vanilla, medicinal"
SML0105,CCCCCCCOC(=O)C,ZCZSIDMEHXZRLG-UHFFFAOYSA-N,"rummy, apricot, fatty, winey, pear, citrus, floral, fresh, green, waxy, aldehydic, woody, fruity"
SML0106,CCCCCCOC(=O)CCC,XAPCMTMQBXLDBB-UHFFFAOYSA-N,"estery, soapy, sweet, green, waxy, fruity, vegetable, apple"
SML0107,CC(=O)O[C@H]1C[C@H]2CC[C@]1(C2(C)C)C,KGEKLUUHTZCSIP-JFGNBEQYSA-N,"herbal, camphoreous, earthy, pine, woody, fruity"
SML0108,CC(C)C=O,AMIMRNSIRUDHCM-UHFFFAOYSA-N,"cheesy, pungent, chocolate, floral, fresh, banana, green, aldehydic, fruity"
SML0109,CC(C)C(=O)O,KQNPFQTWMSNSAP-UHFFFAOYSA-N,"acidic, cheesy, buttery, dairy, fruity, sour"
SML0110,C/C=C/C1=CC(=C(C=C1)O)OC,BJIOGJUNALELMI-ONEGZZNKSA-N,"spicy, phenolic, sweet, floral"
SML0111,CS,LSDPWZHWYPCBBB-UHFFFAOYSA-N,"alliaceous, cabbage, oily, garlic, savory, creamy, vegetable, sulfurous"
SML0112,COC(=O)C1=CC=CC=C1O,OSWPMRLSEDHDFF-UHFFFAOYSA-N,"minty, phenolic, aromatic, warm, sweet, camphoreous"
SML0113,CCCCCCCCOC(=O)C,YLYBTZIQSIBWLI-UHFFFAOYSA-N,"jasmine, herbal, peach, citrus, floral, earthy, green, mushroom, waxy, fruity, orange"
SML0114,C1=CC=C(C=C1)CC=O,DTUQWGWMVIHBKE-UHFFFAOYSA-N,"powdery, hyacinth, honey, chocolate, fermented, sweet, floral, earthy, rose, green, cocoa"
SML0115,C1=CN=CC=N1,KYQCOXFCLRTKLS-UHFFFAOYSA-N,"musty, pungent, hazelnut, nutty, sweet, roasted"
SML0116,CC1=CCC(CC1)C(C)(C)O,WUOACPNHFRMFPN-UHFFFAOYSA-N,"clean, herbal, sweet, floral, pine, fresh, woody"
SML0117,CC1=CCC(CC1)C(C)(C)OC(=O)C,IGODOXYLBBXFDW-UHFFFAOYSA-N,"bergamot, lavender, herbal, spicy, citrus, sweet"
SML0118,COC(=O)C1=CC=CC=C1,QPJVMBTYPHYUOC-UHFFFAOYSA-N,"phenolic, sweet, floral, fruity, almond"
SML0119,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],RMBFBMJGBANMMK-UHFFFAOYSA-N,
SML0120,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,ONKNPOPIGWHAQC-UHFFFAOYSA-N,"sweet, floral, musk"
SML0121,CC1C(SC(=N1)C)C,CIEKNJJOENYFQL-UHFFFAOYSA-N,
