SML,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotBonds,AromaticRings,RingCount,FracCsp3,HeavyAtoms,nO,nN,nS,fg_alcohol,fg_phenol,fg_carboxylic_acid,fg_ester,fg_ether,fg_aldehyde,fg_ketone,fg_amine,fg_aromatic,fg_benzene,fg_lactone,fg_sulfide,fg_nitrile,fg_halogen,fg_terpene_isopropyl
SML0692,CC(C)OCCC1=CC=CC=C1,164.24800000000002,2.6541000000000006,9.23,0,1,4,1,1,0.45454545454545453,12,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
SML0693,CC(CCC=C(C)C)CC#N,151.253,3.282580000000002,23.79,0,1,4,0,0,0.7,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SML0694,CCCCCCCCC(C)C#N,167.296,3.8966800000000035,23.79,0,1,7,0,0,0.9090909090909091,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SML0695,CC(C)C(=O)OCC1=CC=CC=C1,178.231,2.3858000000000006,26.3,0,2,3,1,1,0.36363636363636365,13,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
SML0696,CC(C)CC(=O)OCCC1=CC=CC=C1,206.285,2.8184000000000013,26.3,0,2,5,1,1,0.46153846153846156,15,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
SML0697,C=CCCCCCCO,128.215,2.1152,20.23,1,1,6,0,0,0.75,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0698,CC/C=C/CC1=C(C(=O)CC1)C,164.24799999999996,3.022100000000002,17.07,0,1,3,0,1,0.5454545454545454,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SML0699,C=CCCCCCCCCO,156.269,2.8954000000000018,20.23,1,1,8,0,0,0.8,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0700,CCOC(=O)C1=CC=C(C=C1)OC,180.20299999999997,1.8719,35.53,0,3,3,1,1,0.3,13,3,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
SML0701,CC(=CCC/C(=C/CCC(C)(C=C)OC(=O)C)/C)C,264.409,4.967100000000005,26.3,0,2,8,0,0,0.5882352941176471,19,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
