node,kind,SML,Odors
2,loss,SML0575,"spicy, balsamic, cinnamon, warm, sweet"
2,loss,SML0576,
2,loss,SML0577,"lily, fresh, green, waxy, aldehydic, woody"
2,loss,SML0578,
2,loss,SML0579,"amber, powdery, balsamic, melon, citrus, sweet, floral, dry, fresh, green, aldehydic, woody, fruity, almond, cherry, orange"
2,loss,SML0580,"jammy, tropical, strawberry, berry, burnt, sweet, caramellic, fruity"
2,loss,SML0585,"marine, ozone, floral, fresh, aldehydic, woody"
2,loss,SML0591,"powdery, tea, orris, oily, violet, sweet, floral, woody, fruity"
2,loss,SML0592,"berry, mint, plum, sweet, floral, rose, green, woody, fruity, apple"
2,loss,SML0596,"celery, jasmin, jasmine, herbal, spicy, citrus, floral, woody, fruity"
2,loss,SML0600,
2,loss,SML0607,musk
2,loss,SML0621,
2,loss,SML0635,
2,loss,SML0648,
2,loss,SML0654,"animal, sweet, musk"
2,loss,SML0657,"amber, powdery, sweet, dry, fruity, musk"
2,loss,SML0659,
2,loss,SML0675,
2,loss,SML0676,
2,loss,SML0677,"jasmine, balsamic, floral, fresh, green"
2,loss,SML0682,"orangeflower, powdery, sweet, floral, orange"
2,loss,SML0683,"geranium, muguet, lily, honey, tropical, floral, rose, fresh, green"
2,loss,SML0698,"lactonic, jasmine, herbal, spicy, fatty, sweet, floral, waxy, fruity, creamy"
2,loss,SML0701,"citrus, sweet, floral, fresh, waxy, woody"
2,loss,SML0706,"jasmin, apricot, tropical, plum, pineapple, sweet, floral, fresh, waxy, fruity, apple"
2,loss,SML0710,"jasmin, jasmine, sweet, floral, banana, fruity"
2,loss,SML0711,
2,loss,SML0721,"spicy, cinnamon"
2,loss,SML0726,"powdery, balsamic, plum, sweet, floral, coumarinic, vanilla, fruity, cherry"
2,loss,SML0732,"hawthorn, powdery, balsamic, anisic, sweet, floral, vanilla, hay"
2,loss,SML0736,"herbal, tobacco, warm, sweet"
2,loss,SML0746,
2,loss,SML0747,
3,loss,SML0014,"minty, terpenic, cooling, peppery, herbal, spicy, camphoreous, dry, pine, fresh, green, woody, hay"
3,loss,SML0026,"muguet, lily, oily, sweet, floral, waxy"
3,loss,SML0027,"citrus, sweet, floral, rose, waxy, fruity"
3,loss,SML0034,
3,loss,SML0066,"peppery, musty, potato, nutty, green, vegetable"
3,loss,SML0073,"hyacinth, herbal, green"
3,loss,SML0074,"natural, citrus, sweet, rose, fresh"
3,loss,SML0085,"fatty, chicken, earthy, green, mushroom, waxy, aldehydic"
3,loss,SML0091,"sharp, solvent, pear, pineapple, sweet, banana, fruity, ethereal"
3,loss,SML0099,"powdery, fatty, oily, sweet, floral, woody, musk"
3,loss,SML0107,"herbal, camphoreous, earthy, pine, woody, fruity"
3,loss,SML0114,"powdery, hyacinth, honey, chocolate, fermented, sweet, floral, earthy, rose, green, cocoa"
3,loss,SML0123,"potato, chocolate, nutty, earthy, vegetable"
3,loss,SML0124,green
3,loss,SML0150,"sharp, lemon, sweet"
3,loss,SML0164,
3,loss,SML0169,"lemon, citrus"
3,loss,SML0171,"estery, ripe, solvent, pear, sweet, banana, fruity"
3,loss,SML0178,"cucumber, fatty, chicken, oily, melon, citrus, nutty, brothy"
3,loss,SML0186,"citrus, floral, green, waxy, woody"
3,loss,SML0188,
3,loss,SML0191,"cucumber, fatty, chicken, melon, nutty, green, waxy"
3,loss,SML0215,"hyacinth, balsamic, floral, fruity"
3,loss,SML0230,
3,loss,SML0248,"lactonic, tropical, fatty, dairy, sweet, coconut, coumarinic, green, creamy"
3,loss,SML0272,"chemical, coffee, meaty, onion, brothy, roasted, vegetable, sulfurous"
3,loss,SML0301,"clove, powdery, spicy, phenolic, balsamic, sharp, sweet"
3,loss,SML0306,"spicy, balsamic, cinnamon, sweet, floral, fruity"
3,loss,SML0331,"fatty, pear, sweet, fresh, banana, green, fruity, apple"
3,loss,SML0340,"balsamic, strawberry, sweet, fruity, cherry"
3,loss,SML0345,"tropical, meaty, floral, sulfurous"
3,loss,SML0380,balsamic
3,loss,SML0382,"lactonic, fatty, milky, buttery, oily, peach, nutty, dairy, sweet, coconut, fresh, fruity, creamy"
3,loss,SML0414,"herbal, earthy, green, woody, fruity"
3,loss,SML0422,"balsamic, sweet"
3,loss,SML0428,"herbal, cheesy, ketonic, musty, oily, citrus, banana, green, fruity, creamy, apple"
3,loss,SML0441,"powdery, sharp, nutty, sweet, fruity, almond, cherry"
3,loss,SML0474,"jasmin, jasmine, sweet, floral, fresh, fruity"
3,loss,SML0482,
3,loss,SML0505,"jasmine, phenolic, metallic, smoky, burnt, animal, woody, medicinal"
3,loss,SML0507,"cedar, mentholic, herbal, spicy, balsamic, sweet, camphoreous, pine, woody"
3,loss,SML0550,"apricot, tropical, pineapple, sweet, banana, fruity, apple"
3,loss,SML0559,"cortex, balsamic, melon, leafy, floral, fresh, green, aldehydic"
3,loss,SML0560,
3,loss,SML0562,
3,loss,SML0563,
3,loss,SML0576,
3,loss,SML0577,"lily, fresh, green, waxy, aldehydic, woody"
3,loss,SML0579,"amber, powdery, balsamic, melon, citrus, sweet, floral, dry, fresh, green, aldehydic, woody, fruity, almond, cherry, orange"
3,loss,SML0585,"marine, ozone, floral, fresh, aldehydic, woody"
3,loss,SML0607,musk
3,loss,SML0648,
3,loss,SML0654,"animal, sweet, musk"
3,loss,SML0666,"clean, animal, sweet, waxy, musk"
3,loss,SML0675,
3,loss,SML0682,"orangeflower, powdery, sweet, floral, orange"
3,loss,SML0701,"citrus, sweet, floral, fresh, waxy, woody"
3,loss,SML0706,"jasmin, apricot, tropical, plum, pineapple, sweet, floral, fresh, waxy, fruity, apple"
3,loss,SML0710,"jasmin, jasmine, sweet, floral, banana, fruity"
3,loss,SML0711,
3,loss,SML0726,"powdery, balsamic, plum, sweet, floral, coumarinic, vanilla, fruity, cherry"
3,loss,SML0727,"tropical, leafy, peach, floral, rose, fresh, green, fruity, apple"
3,loss,SML0729,"fatty, milky, oily, sweet, coconut, coumarinic, creamy"
3,loss,SML0732,"hawthorn, powdery, balsamic, anisic, sweet, floral, vanilla, hay"
4,gain,SML0044,"herbal, fatty, citrus, fresh, green, waxy, aldehydic, fruity, orange"
4,gain,SML0109,"acidic, cheesy, buttery, dairy, fruity, sour"
4,gain,SML0155,odorless
4,gain,SML0176,"acidic, cheesy, pungent, fermented, fruity"
4,gain,SML0182,"citrus, aldehydic, orange"
4,gain,SML0189,"fatty, citrus, fresh, green, aldehydic, fruity, orange"
4,gain,SML0196,"ozone, herbal, fatty, citrus, nutty, cognac, sweet, fresh, green, aldehydic"
4,gain,SML0234,
4,gain,SML0247,"apricot, tropical, metallic, fatty, milky, buttery, oily, peach, dairy, sweet, coconut, fresh, fruity, creamy"
4,gain,SML0256,"weedy, pungent, fatty, leafy, fresh, green, fruity, grassy, apple"
4,gain,SML0257,"fatty, milky, oily, dairy, green, creamy, vegetable"
4,gain,SML0310,"cooked, alliaceous, cabbage, meaty, onion, fresh, garlic, savory, vegetable, sulfurous"
4,gain,SML0311,"cabbage, onion, vegetable, sulfurous"
4,gain,SML0314,"clean, herbal, spicy, cheesy, pungent, fatty, sharp, leafy, fresh, banana, green, aldehydic, fruity, vegetable, grassy, apple"
4,gain,SML0432,"natural, tropical, fatty, oily, grape, nutty, rum, cognac, rose, waxy, fruity"
4,gain,SML0476,"herbal, tropical, winey, oily, pear, green, fruity, grassy, apple"
4,gain,SML0490,
4,gain,SML0506,"fatty, floral, rose, green, aldehydic, orange"
4,gain,SML0510,"cheesy, pungent, dairy, creamy, sour"
4,gain,SML0518,
4,gain,SML0538,"cucumber, orris, melon, citrus, fresh, green, waxy, woody, vegetable"
4,gain,SML0618,
4,gain,SML0646,
4,gain,SML0712,"cheesy, fatty, milky, buttery, oily, dairy, sweet, waxy, creamy"
4,gain,SML0740,"acidic, cheesy, fatty, chicken, oily, roasted, savory, fruity"
4,loss,SML0083,"minty, cooling, mentholic, mint"
4,loss,SML0188,
4,loss,SML0214,"rummy, honey, pineapple, sweet, fruity"
4,loss,SML0243,"fatty, dairy, sweet, coconut, coumarinic, waxy, creamy"
4,loss,SML0248,"lactonic, tropical, fatty, dairy, sweet, coconut, coumarinic, green, creamy"
4,loss,SML0380,balsamic
4,loss,SML0409,
4,loss,SML0422,"balsamic, sweet"
4,loss,SML0441,"powdery, sharp, nutty, sweet, fruity, almond, cherry"
4,loss,SML0559,"cortex, balsamic, melon, leafy, floral, fresh, green, aldehydic"
4,loss,SML0598,"clove, spicy, tea, sweet, floral"
4,loss,SML0603,
4,loss,SML0614,
4,loss,SML0619,
4,loss,SML0620,
4,loss,SML0658,"amber, herbal, sweet, dry, creamy, musk"
4,loss,SML0660,
5,gain,SML0027,"citrus, sweet, floral, rose, waxy, fruity"
5,gain,SML0044,"herbal, fatty, citrus, fresh, green, waxy, aldehydic, fruity, orange"
5,gain,SML0060,"fatty, winey, oily, fermented, cognac, floral, fruity"
5,gain,SML0074,"natural, citrus, sweet, rose, fresh"
5,gain,SML0107,"herbal, camphoreous, earthy, pine, woody, fruity"
5,gain,SML0147,"amber, powdery, sweet, fruity, musk"
5,gain,SML0152,"metallic, sharp, lemon, sweet, green, fruity"
5,gain,SML0164,
5,gain,SML0169,"lemon, citrus"
5,gain,SML0177,"raspberry, natural, tobacco, tea, grape, plum, sweet, floral, earthy, rose, green, woody, fruity, apple"
5,gain,SML0180,"balsamic, tropical, orris, violet, sweet, floral, woody, fruity"
5,gain,SML0184,"minty, honey, tobacco, berry, plum, floral, rose, woody, fruity"
5,gain,SML0186,"citrus, floral, green, waxy, woody"
5,gain,SML0234,
5,gain,SML0240,"fatty, buttery, oily, peach, sweet, coconut, fresh, waxy, fruity, creamy"
5,gain,SML0247,"apricot, tropical, metallic, fatty, milky, buttery, oily, peach, dairy, sweet, coconut, fresh, fruity, creamy"
5,gain,SML0249,"pungent, fatty, oily, sweet, fresh, green, fruity, vegetable, apple"
5,gain,SML0257,"fatty, milky, oily, dairy, green, creamy, vegetable"
5,gain,SML0314,"clean, herbal, spicy, cheesy, pungent, fatty, sharp, leafy, fresh, banana, green, aldehydic, fruity, vegetable, grassy, apple"
5,gain,SML0343,"coffee, alliaceous, meaty, onion, roasted, garlic, sulfurous"
5,gain,SML0428,"herbal, cheesy, ketonic, musty, oily, citrus, banana, green, fruity, creamy, apple"
