molecule,n_receptors,group_id,group_size,SMILES,InChIKey,Odors,tags,n_tags
SML0415,7,G003,14,CCCCC(CC)CO,YIWUKEYIRIRTPP-UHFFFAOYSA-N,"fermented, oily, rose, sweet, floral, fresh, citrus","frozenset({'oily', 'citrus', 'fresh', 'rose', 'floral', 'fermented', 'sweet'})",7
SML0418,7,G003,14,CCCCC(CCC)O,WOFPPJOZXUTRAU-UHFFFAOYSA-N,,frozenset(),0
SML0444,7,G003,14,CCCCC/C=C/C=O,LVBXEMGDVWVTGY-VOTSOKGWSA-N,"fatty, green, vegetable, leafy, banana, herbal, cucumber, fresh, waxy","frozenset({'leafy', 'vegetable', 'fresh', 'cucumber', 'green', 'fatty', 'waxy', 'banana', 'herbal'})",9
SML0540,7,G003,14,CCC(=C)CCCC(C)(C)O,VOATZOQREKBJMT-UHFFFAOYSA-N,,frozenset(),0
SML0553,7,G003,14,CCCCCCCCC/C=C/C=O,SSNZFFBDIMUILS-ZHACJKMWSA-N,"orange, waxy, metallic, aldehydic, herbal, citrus","frozenset({'orange', 'citrus', 'aldehydic', 'waxy', 'herbal', 'metallic'})",6
SML0674,7,G003,14,CC(C)(CCC1CCCCC1)O,KZZASWGRLOTITL-UHFFFAOYSA-N,floral,frozenset({'floral'}),1
SML0679,7,G003,14,CC(C)CCCC(C)CCO,PRNCMAKCNVRZFX-UHFFFAOYSA-N,"rose, sweet, waxy, musty, aldehydic, green, soapy, citrus, leathery","frozenset({'citrus', 'rose', 'soapy', 'green', 'leathery', 'aldehydic', 'waxy', 'musty', 'sweet'})",9
SML0705,7,G003,14,CCCCCCC(C)(CC)O,VZBFPIMCUSPDLS-UHFFFAOYSA-N,,frozenset(),0
SML0734,7,G003,14,CCCC(=O)OC/C=C(\C)/CCC=C(C)C,ZSBOMYJPSRFZAL-JLHYYAGUSA-N,"fruity, rose, sweet, apricot, fresh, raspberry, green, tropical, peach, waxy","frozenset({'fruity', 'apricot', 'peach', 'fresh', 'tropical', 'rose', 'raspberry', 'green', 'waxy', 'sweet'})",10
SML0015,1,G004,9,CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"pungent, sour, acidic, sharp","frozenset({'sour', 'acidic', 'sharp', 'pungent'})",4
SML0030,1,G004,9,CC(C(=O)O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,"buttery, sour, odorless","frozenset({'sour', 'buttery', 'odorless'})",3
SML0049,1,G004,9,CCC(=O)O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,"milky, pungent, sour, acidic, dairy, cheesy","frozenset({'pungent', 'dairy', 'sour', 'milky', 'acidic', 'cheesy'})",6
