molecule,n_receptors,group_id,group_size,SMILES,InChIKey,Odors,tags,n_tags
SML0507,1,G019,4,CC(=O)OC1CC2CCC1(C2(C)C)C,KGEKLUUHTZCSIP-UHFFFAOYSA-N,"herbal, pine, sweet, cedar, spicy, mentholic, camphoreous, balsamic, woody","frozenset({'pine', 'herbal', 'camphoreous', 'mentholic', 'spicy', 'balsamic', 'woody', 'cedar', 'sweet'})",9
SML0637,1,G019,4,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@H]34,NPAGDVCDWIYMMC-IZPLOLCNSA-N,,frozenset(),0
SML0522,5,G020,4,CC(=C)[C@H]1CCC(=CC1)C=O,RUMOYJJNUMEFDD-SNVBAGLBSA-N,"fatty, herbal, spicy, oily, grassy, fresh, green, cherry, minty","frozenset({'oily', 'grassy', 'spicy', 'fresh', 'cherry', 'green', 'fatty', 'minty', 'herbal'})",9
SML0531,5,G020,4,CCCCC/C(=C\C1=CC=CC=C1)/C(OC)OC,QCHZKUPVENJLAW-FYWRMAATSA-N,"floral, green, jasmine","frozenset({'green', 'jasmine', 'floral'})",3
SML0725,5,G020,4,CCOC(=O)C1C(O1)C2=CC=CC=C2,GOMAKLPNAAZVCJ-UHFFFAOYSA-N,"berry, caramellic, fruity, strawberry, sweet","frozenset({'fruity', 'strawberry', 'caramellic', 'berry', 'sweet'})",5
SML0769,5,G020,4,C=CCSS(=O)CC=C,JDLKFOPOAOFWQN-UHFFFAOYSA-N,,frozenset(),0
SML0210,7,G021,4,C[C@H]1CCCCCCCCCCCCC(=O)C1,ALHUZKCOMYUFRB-HNNXBMFYSA-N,,frozenset(),0
SML0386,7,G021,4,CC1CC=CCCCCCCCCCC(=O)C1,NKMKFQCVDZVEJR-UHFFFAOYSA-N,,frozenset(),0
SML0661,7,G021,4,C1CCCCCCCC(=O)OCCCCCCC1,LOKPJYNMYCVCRM-UHFFFAOYSA-N,"animal, musk, sweet, amber, balsamic","frozenset({'balsamic', 'amber', 'musk', 'animal', 'sweet'})",5
SML0684,7,G021,4,C/C=C/CCCCCCCC#N,RPLWLQJSZFPHGM-NSCUHMNNSA-N,,frozenset(),0
SML0013,8,G022,3,CCC1=NC=CN=C1C,LNIMMWYNSBZESE-UHFFFAOYSA-N,"burnt, earthy, green, hazelnut, nutty, potato, roasted, musty, bready","frozenset({'potato', 'roasted', 'nutty', 'green', 'bready', 'earthy', 'hazelnut', 'musty', 'burnt'})",9
SML0071,8,G022,3,CCC1=NC=CN=C1OC,DPCILIMHENXHQX-UHFFFAOYSA-N,"earthy, green, musty, nutty, vegetable","frozenset({'vegetable', 'nutty', 'green', 'earthy', 'musty'})",5
SML0486,8,G022,3,CC1=NC=CN=C1OC,VKJIAEQRKBQLLA-UHFFFAOYSA-N,"hazelnut, nutty, roasted, chocolate","frozenset({'hazelnut', 'roasted', 'chocolate', 'nutty'})",4
SML0266,2,G023,3,COC1=C(C(=CC=C1)OC)O,KLIDCXVFHGNTTM-UHFFFAOYSA-N,"medicinal, phenolic, smoky, woody, sweet, powdery, balsamic","frozenset({'smoky', 'powdery', 'phenolic', 'balsamic', 'woody', 'sweet', 'medicinal'})",7
SML0492,2,G023,3,CCC1=CC=CC=C1O,IXQGCWUGDFDQMF-UHFFFAOYSA-N,"phenolic, sweet","frozenset({'sweet', 'phenolic'})",2
SML0626,2,G023,3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,,frozenset(),0
SML0345,6,G024,3,CC(C1=CC=CC=C1)S,QZZBJCFNHPYNKO-UHFFFAOYSA-N,"floral, meaty, sulfurous, tropical","frozenset({'sulfurous', 'tropical', 'meaty', 'floral'})",4
SML0463,6,G024,3,CCCC(=O)OCCC,HUAZGNHGCJGYNP-UHFFFAOYSA-N,"fruity, sweet, pineapple, apricot, ethereal","frozenset({'fruity', 'apricot', 'ethereal', 'pineapple', 'sweet'})",5
SML0572,6,G024,3,CCC(C1=CC=CC=C1)O,DYUQAZSOFZSPHD-UHFFFAOYSA-N,"balsamic, floral, rose, sweet","frozenset({'balsamic', 'sweet', 'rose', 'floral'})",4
SML0271,3,G025,3,CC1=CC(=C(C=C1)OC)O,IFNDEOYXGHGERA-UHFFFAOYSA-N,"medicinal, phenolic, smoky, sweet, vanilla","frozenset({'smoky', 'phenolic', 'vanilla', 'sweet', 'medicinal'})",5
SML0288,3,G025,3,CC1=CC(=CC=C1)O,RLSSMJSEOOYNOY-UHFFFAOYSA-N,"dry, leathery, medicinal, phenolic, woody","frozenset({'dry', 'phenolic', 'leathery', 'woody', 'medicinal'})",5
SML0514,3,G025,3,COC1=CC(=CC(=C1O)OC)C=O,KCDXJAYRVLXPFO-UHFFFAOYSA-N,"balsamic, floral, smoky, sweet, vanilla, green, woody, chocolate","frozenset({'smoky', 'balsamic', 'chocolate', 'floral', 'green', 'vanilla', 'woody', 'sweet'})",8
SML0417,9,G026,3,CCCCCC(CC)O,NMRPBPVERJPACX-UHFFFAOYSA-N,"earthy, herbal, mushroom, nutty, oily, musty, fermented, spicy, minty, melon, creamy, green, woody, dairy, citrus, waxy","frozenset({'oily', 'citrus', 'creamy', 'dairy', 'spicy', 'mushroom', 'nutty', 'fermented', 'melon', 'green', 'woody', 'earthy', 'waxy', 'musty', 'minty', 'herbal'})",16
SML0442,9,G026,3,CC(CCC=C(C)C)CC=O,NEHNMFOYXAPHSD-UHFFFAOYSA-N,"sweet, dry, aldehydic, floral, herbal, rose, green, citrus, waxy","frozenset({'dry', 'citrus', 'herbal', 'floral', 'rose', 'green', 'aldehydic', 'waxy', 'sweet'})",9
SML0712,9,G026,3,CCCCCCCCCC1CCCC(=O)O1,SKQYTJLYRIFFCO-UHFFFAOYSA-N,"buttery, creamy, fatty, milky, sweet, oily, dairy, cheesy, waxy","frozenset({'oily', 'creamy', 'dairy', 'buttery', 'fatty', 'milky', 'waxy', 'cheesy', 'sweet'})",9
SML0240,8,G027,3,CCCCCCC1CCC(=O)O1,IFYYFLINQYPWGJ-UHFFFAOYSA-N,"coconut, peach, sweet, buttery, fatty, fruity, oily, creamy, fresh, waxy","frozenset({'oily', 'fruity', 'peach', 'creamy', 'fresh', 'buttery', 'coconut', 'fatty', 'waxy', 'sweet'})",10
SML0244,8,G027,3,CCCCCCCC1CCC(=O)O1,PHXATPHONSXBIL-UHFFFAOYSA-N,"ketonic, fatty, fruity, apricot, coconut, creamy, peach, lactonic","frozenset({'fruity', 'apricot', 'creamy', 'peach', 'lactonic', 'coconut', 'fatty', 'ketonic'})",8
SML0330,8,G027,3,CCCCCC(C)O,CETWDUZRCINIHU-UHFFFAOYSA-N,"green, herbal, lemon, sweet, floral, fruity, fresh, citrus","frozenset({'fruity', 'citrus', 'fresh', 'floral', 'green', 'lemon', 'sweet', 'herbal'})",8
SML0121,1,G028,3,CC1C(SC(=N1)C)C,CIEKNJJOENYFQL-UHFFFAOYSA-N,,frozenset(),0
SML0122,1,G028,3,CC1=CN=C(C(=N1)C)C,IAEGWXHKWJGQAZ-UHFFFAOYSA-N,"burnt, cocoa, coffee, nutty, potato, roasted, musty, powdery, hazelnut, earthy","frozenset({'potato', 'burnt', 'powdery', 'roasted', 'nutty', 'earthy', 'hazelnut', 'musty', 'cocoa', 'coffee'})",10
SML0132,1,G028,3,CC1C(=O)C(=C(O1)C)OC,SIMKGHMLPVDSJE-UHFFFAOYSA-N,"caramellic, fruity, sweet, winey, vegetable, musty, meaty, mushroom, potato, cocoa, coffee, brandy","frozenset({'fruity', 'potato', 'brandy', 'vegetable', 'mushroom', 'winey', 'caramellic', 'musty', 'cocoa', 'sweet', 'coffee', 'meaty'})",12
SML0457,5,G029,3,CCCCCC[C@H](C)O,SJWFXCIHNDVPSH-QMMMGPOBSA-N,"mushroom, fatty, grape, oily, creamy","frozenset({'oily', 'creamy', 'mushroom', 'grape', 'fatty'})",5
SML0542,5,G029,3,CC(=CCCC(=CCCC(=C)C=C)C)C,JSNRRGGBADWTMC-UHFFFAOYSA-N,,frozenset(),0
SML0703,5,G029,3,C=CCOC(=O)CCC1CCCCC1,TWXUTZNBHUWMKJ-UHFFFAOYSA-N,"fruity, pineapple, sweet, tropical, waxy","frozenset({'fruity', 'pineapple', 'tropical', 'waxy', 'sweet'})",5
SML0257,4,G030,3,CC/C=C\CCC=O,VVGOCOMZRGWHPI-ARJAWSKDSA-N,"creamy, green, vegetable, fatty, oily, milky, dairy","frozenset({'oily', 'creamy', 'vegetable', 'dairy', 'green', 'fatty', 'milky'})",7
SML0493,4,G030,3,C1OC2=C(O1)C=C(C=C2)CO,BHUIUXNAPJIDOG-UHFFFAOYSA-N,"sweet, vanilla, powdery","frozenset({'sweet', 'powdery', 'vanilla'})",3
SML0585,4,G030,3,COC1CC2CC1C3C2CC(C3)C=O,UOGMZEGKCNHMBF-UHFFFAOYSA-N,"aldehydic, marine, floral, ozone, fresh, woody","frozenset({'marine', 'fresh', 'floral', 'ozone', 'aldehydic', 'woody'})",6
SML0179,4,G031,3,CC/C=C\CC/C=C/C=O,HZYHMHHBBBSGHB-ODYTWBPASA-N,"cucumber, green, leafy, melon, violet, dry, vegetable, fatty","frozenset({'dry', 'leafy', 'vegetable', 'cucumber', 'melon', 'green', 'fatty', 'violet'})",8
SML0181,4,G031,3,CC/C=C\CC/C=C\C=O,HZYHMHHBBBSGHB-KPDBFRNYSA-N,,frozenset(),0
SML0190,4,G031,3,CCCCCCC/C=C/C=C/C=O,QKTZBZWNADPFOL-BNFZFUHLSA-N,"fatty, grapefruit, meaty, orange, citrus","frozenset({'orange', 'citrus', 'fatty', 'grapefruit', 'meaty'})",5
SML0182,5,G032,3,CCCCC/C=C\CCC=O,CWRKZMLUDFBPAO-SREVYHEPSA-N,"aldehydic, orange, citrus","frozenset({'orange', 'citrus', 'aldehydic'})",3
SML0470,5,G032,3,CCCCCCC=C,KWKAKUADMBZCLK-UHFFFAOYSA-N,gasoline,frozenset({'gasoline'}),1
SML0518,5,G032,3,CCCC/C=C\CCC=O,QPULDJYQYDGZEI-WAYWQWQTSA-N,,frozenset(),0
SML0020,10,G033,3,CCCCCCCCCCCC(=O)OCC,MMXKVMNBHPAILY-UHFFFAOYSA-N,"fatty, floral, fruity, oily, waxy, sweet, clean, soapy","frozenset({'oily', 'fruity', 'floral', 'soapy', 'fatty', 'clean', 'waxy', 'sweet'})",8
SML0036,10,G033,3,CCCCCCCCCCCCCCCC(=O)OC,FLIACVVOZYBSBS-UHFFFAOYSA-N,"sweet, waxy, orris, fatty, oily","frozenset({'oily', 'orris', 'fatty', 'waxy', 'sweet'})",5
SML0039,10,G033,3,CCCCCCCCCCCCCC(=O)OC,ZAZKJZBWRNNLDS-UHFFFAOYSA-N,"cognac, fatty, oily, orris, waxy","frozenset({'oily', 'orris', 'cognac', 'fatty', 'waxy'})",5
SML0390,1,G034,3,C1CCCCOC(=O)CCCCC/C=C\CCC1,NVIPUOMWGQAOIT-RQOWECAXSA-N,"musk, musty, animal","frozenset({'animal', 'musty', 'musk'})",3
SML0599,1,G034,3,C1CCC/C=C\CCCCCCC(=O)CCC1,ZGEHHVDYDNXYMW-UPHRSURJSA-N,"dry, animal, floral, tobacco, balsamic, musk, waxy","frozenset({'dry', 'balsamic', 'floral', 'musk', 'animal', 'waxy', 'tobacco'})",7
SML0601,1,G034,3,CC1C/C=C/CCCCCCCCCC(=O)C1,NKMKFQCVDZVEJR-CSKARUKUSA-N,"animal, musk, soapy","frozenset({'animal', 'soapy', 'musk'})",3
SML0139,5,G035,2,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,NFLGAXVYCFJBMK-BDAKNGLRSA-N,"sweet, anise, mentholic, herbal, camphoreous, cooling, fresh, green, minty","frozenset({'camphoreous', 'mentholic', 'fresh', 'green', 'cooling', 'anise', 'minty', 'sweet', 'herbal'})",9
SML0685,5,G035,2,CC/C=C\CC/C=C/C#N,DSOXXQLCMAEPEZ-ODYTWBPASA-N,"floral, green","frozenset({'green', 'floral'})",2
SML0050,1,G036,2,CC1C(=C(C(=O)O1)O)C,UNYNVICDCJHOPO-UHFFFAOYSA-N,"caramellic, sweet, coffee","frozenset({'coffee', 'sweet', 'caramellic'})",3
SML0246,1,G036,2,CCC1C(=C(C(=O)O1)O)C,IUFQZPBIRYFPFD-UHFFFAOYSA-N,"caramellic, sweet, nutty, fruity","frozenset({'fruity', 'nutty', 'sweet', 'caramellic'})",4
SML0068,2,G037,2,CCC1=NC=C(N=C1CC)C,PSINWXIDJYEXLO-UHFFFAOYSA-N,"chocolate, hazelnut, meaty, nutty, roasted, musty, vegetable, potato, green, earthy","frozenset({'potato', 'vegetable', 'chocolate', 'roasted', 'nutty', 'green', 'earthy', 'hazelnut', 'musty', 'meaty'})",10
SML0745,2,G037,2,CCC1=NC=C(N=C1C)C,JZBCTZLGKSYRSF-UHFFFAOYSA-N,"almond, burnt, chocolate, cocoa, hazelnut, nutty, musty, caramellic, coffee, roasted","frozenset({'coffee', 'almond', 'chocolate', 'roasted', 'nutty', 'caramellic', 'hazelnut', 'musty', 'cocoa', 'burnt'})",10
SML0133,13,G038,2,CCC1=NC=CN=C1C(=O)C,PPJSYGVFDJEMRP-UHFFFAOYSA-N,"earthy, hazelnut, meaty, nutty, popcorn, potato, musty","frozenset({'popcorn', 'potato', 'nutty', 'earthy', 'hazelnut', 'musty', 'meaty'})",7
SML0153,13,G038,2,CC1=NC=CN=C1C(=O)C,QUNOTZOHYZZWKQ-UHFFFAOYSA-N,"cocoa, coffee, hazelnut, nutty, popcorn, roasted, vegetable, caramellic","frozenset({'popcorn', 'vegetable', 'roasted', 'nutty', 'caramellic', 'hazelnut', 'cocoa', 'coffee'})",8
SML0376,2,G039,2,CCCC/C=C\C=C\C=O,ZHHYXNZJDGDGPJ-IGTJQSIKSA-N,"geranium, pungent, green","frozenset({'green', 'geranium', 'pungent'})",3
SML0494,2,G039,2,C1=CC=C2C(=C1)C(=CC(=O)O2)O,VXIXUWQIVKSKSA-UHFFFAOYSA-N,,frozenset(),0
SML0296,4,G040,2,CCC1=CC=C(C=C1)O,HXDOZKJGKXYMEW-UHFFFAOYSA-N,"animal, phenolic, woody, smoky, savory","frozenset({'smoky', 'phenolic', 'savory', 'animal', 'woody'})",5
SML0632,4,G040,2,CC(=O)NC1=CC=C(C=C1)O,RZVAJINKPMORJF-UHFFFAOYSA-N,,frozenset(),0
SML0128,1,G041,2,CC1C(=O)C(=C(O1)C)O,INAXVXBDKKUCGI-UHFFFAOYSA-N,"caramellic, fruity, pineapple, roasted, strawberry, sweet, savory, burnt, brown","frozenset({'fruity', 'pineapple', 'strawberry', 'roasted', 'savory', 'brown', 'caramellic', 'sweet', 'burnt'})",9
SML0302,1,G041,2,CCC1C(=O)C(=C(O1)C)O,GWCRPYGYVRXVLI-UHFFFAOYSA-N,"caramellic, sweet","frozenset({'sweet', 'caramellic'})",2
SML0198,2,G042,2,CCCC(=O)C,XNLICIUVMPYHGG-UHFFFAOYSA-N,"banana, dairy, ethereal, fruity, ketonic, rummy, sweet, fermented, winey, woody","frozenset({'fruity', 'ethereal', 'dairy', 'fermented', 'winey', 'ketonic', 'woody', 'banana', 'rummy', 'sweet'})",10
SML0235,2,G042,2,CCC(=O)C(C)S,TWOGJUHCCNLYPC-UHFFFAOYSA-N,"grapefruit, onion, roasted, sulfurous, meaty","frozenset({'onion', 'roasted', 'grapefruit', 'sulfurous', 'meaty'})",5
SML0381,1,G043,2,C1=CC=C(C=C1)CC(=O)O,WLJVXDMOQOGPHL-UHFFFAOYSA-N,"animal, honey, sweet, sour, floral, rose, powdery, tobacco, chocolate, waxy","frozenset({'powdery', 'honey', 'chocolate', 'floral', 'sour', 'animal', 'rose', 'waxy', 'tobacco', 'sweet'})",10
SML0625,1,G043,2,C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O,JFLIEFSWGNOPJJ-JTQLQIEISA-N,,frozenset(),0
SML0704,10,G044,2,CCCCCCC1CCCC1=O,JTHVYOIHZNYRCC-UHFFFAOYSA-N,"floral, fruity, green, jasmine","frozenset({'green', 'fruity', 'jasmine', 'floral'})",4
SML0717,10,G044,2,CCCCCCCC1CCCC1=O,PJXHBTZLHITWFX-UHFFFAOYSA-N,"fruity, oily, fresh, jasmine, tropical, peach","frozenset({'oily', 'fruity', 'peach', 'fresh', 'tropical', 'jasmine'})",6
SML0449,1,G045,2,C[C@]12CC[C@H](C1(C)C)CC2=O,DSSYKIVIOFKYAU-OIBJUYFYSA-N,,frozenset(),0
SML0477,1,G045,2,C[C@@]12CC[C@@H](C1(C)C)CC2=O,DSSYKIVIOFKYAU-XCBNKYQSSA-N,"medicinal, mentholic, herbal, camphoreous, cooling, phenolic, green, woody, minty","frozenset({'camphoreous', 'mentholic', 'phenolic', 'green', 'cooling', 'woody', 'minty', 'herbal', 'medicinal'})",9
SML0616,5,G046,2,C(C(=O)O)N,DHMQDGOQFOQNFH-UHFFFAOYSA-N,odorless,frozenset({'odorless'}),1
SML0748,5,G046,2,C1C2CC(C1C=C2)C(=O)O,FYGUSUBEMUKACF-UHFFFAOYSA-N,"fruity, green","frozenset({'green', 'fruity'})",2
SML0065,6,G047,2,CC1=NC=CN=C1,CAWHJQAVHZEVTJ-UHFFFAOYSA-N,"cocoa, fishy, green, musty, nutty, potato, brown, roasted, earthy, chocolate","frozenset({'potato', 'roasted', 'chocolate', 'fishy', 'brown', 'nutty', 'green', 'earthy', 'musty', 'cocoa'})",10
SML0421,6,G047,2,CC1=CC(=C(C=C1)C(C)C)O,MGSRCZKZVOBKFT-UHFFFAOYSA-N,"herbal, medicinal, phenolic, spicy, sweet, chemical, camphoreous","frozenset({'herbal', 'phenolic', 'camphoreous', 'spicy', 'chemical', 'sweet', 'medicinal'})",7
SML0280,3,G048,2,CCC(=O)C1=NCCC1,OVNCGQSYSSYBPO-UHFFFAOYSA-N,"roasted, fishy","frozenset({'roasted', 'fishy'})",2
SML0473,3,G048,2,CCCCCC(=O)OCCCCC,WRFZKAGPPQGDDQ-UHFFFAOYSA-N,"apple, fruity, green, pear, pineapple, waxy, sweet, estery, fatty, cognac","frozenset({'fruity', 'pineapple', 'green', 'cognac', 'pear', 'fatty', 'apple', 'waxy', 'estery', 'sweet'})",10
SML0060,10,G049,2,CCCCCCCCCC(=O)OC,YRHYCMZPEVDGFQ-UHFFFAOYSA-N,"cognac, fatty, fruity, oily, winey, fermented, floral","frozenset({'oily', 'fruity', 'fermented', 'floral', 'winey', 'cognac', 'fatty'})",7
SML0336,10,G049,2,CCCCCCCC(=O)C,VKCYHJWLYTUGCC-UHFFFAOYSA-N,"cheesy, coconut, fatty, fruity, herbal, sweet, weedy, fresh, green, earthy, soapy, waxy","frozenset({'fruity', 'fresh', 'sweet', 'soapy', 'green', 'coconut', 'fatty', 'earthy', 'waxy', 'cheesy', 'herbal', 'weedy'})",12
SML0472,4,G050,2,CCCCC/C(=C\C1=CC=CC=C1)/C=O,HMKKIXGYKWDQSV-SDNWHVSQSA-N,floral,frozenset({'floral'}),1
SML0481,4,G050,2,CCCCCC/C(=C\C1=CC=CC=C1)/C=O,GUUHFMWKWLOQMM-NTCAYCPXSA-N,"floral, jasmine, sweet","frozenset({'jasmine', 'sweet', 'floral'})",3
SML0639,2,G051,2,C(C(C=O)O)O,MNQZXJOMYWMBOU-UHFFFAOYSA-N,,frozenset(),0
SML0643,2,G051,2,C(C(C(=O)O)N)N,PECYZEOJVXMISF-UHFFFAOYSA-N,,frozenset(),0
SML0256,3,G052,2,CC/C=C\CC=O,GXANMBISFKBPEX-ARJAWSKDSA-N,"fresh, grassy, green, leafy, pungent, fatty, weedy, fruity, apple","frozenset({'fruity', 'leafy', 'grassy', 'pungent', 'fresh', 'green', 'fatty', 'apple', 'weedy'})",9
SML0314,3,G052,2,CCC/C=C/C=O,MBDOYVRWFFCFHM-SNAWJCMRSA-N,"apple, fresh, fruity, grassy, green, leafy, pungent, vegetable, aldehydic, clean, spicy, fatty, banana, herbal, cheesy, sharp","frozenset({'fruity', 'grassy', 'leafy', 'pungent', 'vegetable', 'fresh', 'spicy', 'sharp', 'green', 'aldehydic', 'fatty', 'clean', 'apple', 'banana', 'cheesy', 'herbal'})",16
SML0388,3,G053,2,CC1C/C=C/CCCCCCCCC(=O)C1,ZFGBKXBPHOUSJX-VQHVLOKHSA-N,,frozenset(),0
SML0665,3,G053,2,C1CCC/C=C\CCCCCCCC(=O)CCC1,ZKVZSBSZTMPBQR-UPHRSURJSA-N,"animal, musk, sweet, dry, clean","frozenset({'dry', 'musk', 'animal', 'clean', 'sweet'})",5
SML0621,3,G054,2,C1CC(=O)NC1,HNJBEVLQSNELDL-UHFFFAOYSA-N,,frozenset(),0
SML0622,3,G054,2,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=CC(=O)CC[C@]34C,MUMGGOZAMZWBJJ-KZYORJDKSA-N,,frozenset(),0
SML0485,3,G055,2,CC1=CC=C(C=C1)OC(=O)CC2=CC=CC=C2,OJEQSSJFSNLMLB-UHFFFAOYSA-N,"animal, rose, honey, lily, hyacinth","frozenset({'honey', 'rose', 'animal', 'lily', 'hyacinth'})",5
SML0633,3,G055,2,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,YZXBAPSDXZZRGB-DOFZRALJSA-N,,frozenset(),0
SML0291,2,G056,2,CCCC(CCOC(=O)C)S,JUCARGIKESIVLB-UHFFFAOYSA-N,"fruity, grapefruit, sulfurous, tropical, floral, pear, raspberry","frozenset({'fruity', 'tropical', 'floral', 'raspberry', 'grapefruit', 'pear', 'sulfurous'})",7
SML0356,2,G056,2,CCCCCC(=O)C(C)C(=O)C,BGVBGAIWXAXBLP-UHFFFAOYSA-N,"caramellic, burnt, fruity, hay","frozenset({'hay', 'fruity', 'burnt', 'caramellic'})",4
SML0007,4,G057,2,CCCCC(=O)C(=O)C,FJPGAMCQJNLTJC-UHFFFAOYSA-N,"buttery, cheesy, fatty, sweet, oily","frozenset({'oily', 'buttery', 'fatty', 'cheesy', 'sweet'})",5
SML0160,4,G057,2,CCCCCO,AMQJEAYHLZJPGS-UHFFFAOYSA-N,"alcoholic, solvent, sweet, fermented, winey, oily, bready, balsamic, pungent","frozenset({'oily', 'solvent', 'pungent', 'alcoholic', 'balsamic', 'fermented', 'winey', 'bready', 'sweet'})",9
SML0344,12,G058,2,CSCC1=CC=CC=C1,OFQPKKGMNWASPN-UHFFFAOYSA-N,"burnt, horseradish, meaty, roasted, savory, sulfurous, chicken, beefy","frozenset({'beefy', 'savory', 'roasted', 'chicken', 'sulfurous', 'horseradish', 'burnt', 'meaty'})",8
SML0465,12,G058,2,CCOC1=CC=CC=C1,DLRJIFUOBPOJNS-UHFFFAOYSA-N,"anisic, sweet","frozenset({'sweet', 'anisic'})",2
SML0678,7,G059,2,CCC(C)(CCCC(C)C)O,DLHQZZUEERVIGQ-UHFFFAOYSA-N,"floral, sweet, fresh, lily, citrus","frozenset({'citrus', 'fresh', 'floral', 'lily', 'sweet'})",5
SML0716,7,G059,2,CCCCCC(CCCC)O,SZMNDOUFZGODBR-UHFFFAOYSA-N,,frozenset(),0
SML0400,4,G060,2,C(CCCCC(=O)O)CCCCC(=O)O,LWBHHRRTOZQPDM-UHFFFAOYSA-N,,frozenset(),0
SML0509,4,G060,2,CCC(C)CC(=O)O,IGIDLTISMCAULB-UHFFFAOYSA-N,"cheesy, animal, fruity, acidic, green, sharp","frozenset({'fruity', 'sharp', 'animal', 'green', 'acidic', 'cheesy'})",6
SML0008,3,G061,2,CC1=CN=C(C=N1)C,LCZUOKDVTBMCMX-UHFFFAOYSA-N,"chocolate, earthy, roasted, musty, medicinal, cocoa, nutty, grassy, powdery, woody","frozenset({'grassy', 'powdery', 'roasted', 'chocolate', 'nutty', 'earthy', 'musty', 'cocoa', 'woody', 'medicinal'})",10
SML0028,3,G061,2,CC1=CN=CC(=N1)C,HJFZAYHYIWGLNL-UHFFFAOYSA-N,"chocolate, potato, roasted, cocoa, nutty, coffee, beefy, brown, ethereal","frozenset({'potato', 'beefy', 'ethereal', 'roasted', 'chocolate', 'brown', 'nutty', 'cocoa', 'coffee'})",9
SML0425,8,G062,2,CCCCCCC(=O)CC,IYTXKIXETAELAV-UHFFFAOYSA-N,"fruity, grassy, green, herbal, sweet, spicy, leafy, floral, fresh, jasmine","frozenset({'fruity', 'grassy', 'herbal', 'leafy', 'spicy', 'fresh', 'floral', 'green', 'jasmine', 'sweet'})",10
SML0436,8,G062,2,CCCC(=O)SC,GRLJIIJNZJVMGP-UHFFFAOYSA-N,"cheesy, cocoa, fruity, milky, sweet, sulfurous, garlic, cabbage, tomato","frozenset({'fruity', 'cabbage', 'garlic', 'milky', 'sulfurous', 'cocoa', 'cheesy', 'sweet', 'tomato'})",9
SML0543,2,G063,2,CCCC(C)C(=O)OCC,HZPKNSYIDSNZKW-UHFFFAOYSA-N,"fruity, green, melon, pear, pineapple, waxy, natural, fatty, fresh","frozenset({'fruity', 'natural', 'pineapple', 'fresh', 'melon', 'green', 'pear', 'fatty', 'waxy'})",9
SML0550,2,G063,2,CCCCCOC(=O)CC,TWSRVQVEYJNFKQ-UHFFFAOYSA-N,"apple, banana, fruity, pineapple, sweet, tropical, apricot","frozenset({'fruity', 'apricot', 'pineapple', 'tropical', 'apple', 'banana', 'sweet'})",7
SML0427,8,G064,2,CCCCCCCCCCC(=O)C,LSKONYYRONEBKA-UHFFFAOYSA-N,"citrus, floral, fruity, orange","frozenset({'fruity', 'citrus', 'orange', 'floral'})",4
SML0588,8,G064,2,CCCCCC(/C(=C/CC)/C)O,WSTQLNQRVZNEDV-CSKARUKUSA-N,"fruity, violet, oily, green, lily","frozenset({'oily', 'fruity', 'green', 'lily', 'violet'})",5
SML0035,11,G065,2,CCCCCCCCCCCC(=O)OC,UQDUPQYQJKYHQI-UHFFFAOYSA-N,"mushroom, coconut, creamy, soapy, waxy","frozenset({'creamy', 'mushroom', 'soapy', 'coconut', 'waxy'})",5
SML0445,11,G065,2,CCC/C=C/C=C/C=O,DVVATNQISMINCX-YTXTXJHMSA-N,"citrus, fatty, fruity, green, melon, pear","frozenset({'fruity', 'citrus', 'melon', 'green', 'fatty', 'pear'})",6
SML0208,1,G066,2,CCC(C(C)CO)S,HABNNYNSJFKZFE-UHFFFAOYSA-N,"onion, sulfurous","frozenset({'onion', 'sulfurous'})",2
SML0366,1,G066,2,CCCC(C(C)CO)S,XVFIAOJQUHTZSV-UHFFFAOYSA-N,,frozenset(),0
