molecule,n_receptors,group_size,SMILES,InChIKey,Odors,tags,n_tags
SML0284,6,1,CC(C)(CCOC=O)S,VTAPYUYITKYXJB-UHFFFAOYSA-N,"coffee, meaty, roasted, sulfurous, caramellic, onion, tropical","frozenset({'onion', 'roasted', 'tropical', 'caramellic', 'sulfurous', 'coffee', 'meaty'})",7
SML0289,6,1,C1=CC=C(C=C1)CCC(=O)O,XMIIGOLPHOKFCH-UHFFFAOYSA-N,"balsamic, sweet, fatty, cinnamon, floral, rose, musk","frozenset({'balsamic', 'floral', 'rose', 'cinnamon', 'musk', 'fatty', 'sweet'})",7
SML0292,23,1,CC(C)C1=CC=C(C=C1)C=O,WTWBUQJHJGUZCY-UHFFFAOYSA-N,"green, herbal, pungent, spicy","frozenset({'green', 'herbal', 'spicy', 'pungent'})",4
SML0293,4,1,COC1=C(C=CC(=C1)C=C)O,YOMSJEATGXXYPX-UHFFFAOYSA-N,"smoky, spicy, sweet, peppery, powdery, phenolic, woody, clove","frozenset({'smoky', 'powdery', 'phenolic', 'peppery', 'spicy', 'woody', 'clove', 'sweet'})",8
SML0295,2,1,CCCCC(CC)CCC(=O)O,PWKJMPFEQOHBAC-UHFFFAOYSA-N,fatty,frozenset({'fatty'}),1
SML0297,9,1,CCOC1=C(C=CC(=C1)C=O)O,CBOQJANXLMLOSS-UHFFFAOYSA-N,"sweet, vanilla, creamy","frozenset({'sweet', 'creamy', 'vanilla'})",3
SML0299,11,1,CC1=CC=C(C=C1)C(=O)C,GNKZMNRKLCTJAY-UHFFFAOYSA-N,"floral, fruity, hay, sweet, vanilla, powdery, coumarinic, hawthorn, cherry","frozenset({'fruity', 'powdery', 'hay', 'cherry', 'floral', 'hawthorn', 'vanilla', 'coumarinic', 'sweet'})",9
SML0301,11,1,CCCC1=CC(=C(C=C1)O)OC,PXIKRTCSSLJURC-UHFFFAOYSA-N,"balsamic, spicy, sweet, powdery, phenolic, clove, sharp","frozenset({'powdery', 'phenolic', 'balsamic', 'spicy', 'sharp', 'clove', 'sweet'})",7
SML0303,12,1,COC1=CC2=C(C=C1)C=CC(=O)O2,LIIALPBMIOVAHH-UHFFFAOYSA-N,"sweet, balsamic","frozenset({'balsamic', 'sweet'})",2
SML0306,18,1,CC(=O)OC/C=C/C1=CC=CC=C1,WJSDHUCWMSHDCR-VMPITWQZSA-N,"balsamic, cinnamon, floral, fruity, spicy, sweet","frozenset({'fruity', 'balsamic', 'spicy', 'floral', 'cinnamon', 'sweet'})",6
SML0307,32,1,C1=CC=C(C=C1)/C=C/CO,OOCCDEMITAIZTP-QPJJXVBHSA-N,"sweet, spicy, powdery, balsamic, green, hyacinth","frozenset({'powdery', 'spicy', 'balsamic', 'green', 'hyacinth', 'sweet'})",6
SML0308,4,1,C=CCSSCC=C,PFRGXCVKLLPLIP-UHFFFAOYSA-N,"garlic, pungent, metallic, onion, alliaceous","frozenset({'onion', 'pungent', 'garlic', 'alliaceous', 'metallic'})",5
SML0318,4,1,CCOC(=O)CCSC,YSNWHRKJEKWJNY-UHFFFAOYSA-N,"caramellic, fruity, pineapple, metallic, sulfurous, ripe, tomato","frozenset({'ripe', 'fruity', 'pineapple', 'caramellic', 'sulfurous', 'metallic', 'tomato'})",7
SML0320,6,1,CCOC(=O)CCC(C)C,OFQRUTMGVBMTFQ-UHFFFAOYSA-N,"apple, fruity, pineapple","frozenset({'apple', 'fruity', 'pineapple'})",3
SML0322,32,1,CCOC(=O)C1=CC=CC=C1,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,"floral, fruity, dry, musty, sweet, medicinal, grape, cherry, minty","frozenset({'dry', 'fruity', 'cherry', 'floral', 'grape', 'musty', 'minty', 'sweet', 'medicinal'})",9
SML0323,8,1,CCCC(=O)OCC,OBNCKNCVKJNDBV-UHFFFAOYSA-N,"banana, buttery, ethereal, fruity, pineapple, ripe, juicy, cognac","frozenset({'ripe', 'fruity', 'ethereal', 'pineapple', 'buttery', 'cognac', 'juicy', 'banana'})",8
SML0324,14,1,CCOC(=O)/C=C/C1=CC=CC=C1,KBEBGUQPQBELIU-CMDGGOBGSA-N,"balsamic, cinnamon, honey, plum, floral","frozenset({'plum', 'honey', 'balsamic', 'floral', 'cinnamon'})",5
SML0325,11,1,CCCCCC(=O)OCC,SHZIWNPUGXLXDT-UHFFFAOYSA-N,"banana, fruity, pear, pineapple, strawberry, tropical, sweet, estery, fatty, green, waxy","frozenset({'fruity', 'pineapple', 'strawberry', 'tropical', 'green', 'pear', 'fatty', 'estery', 'waxy', 'banana', 'sweet'})",11
SML0326,10,1,CCCCC(=O)OCC,ICMAFTSLXCXHRK-UHFFFAOYSA-N,"apple, fruity, pineapple, tropical, sweet, berry, acidic, green","frozenset({'fruity', 'pineapple', 'tropical', 'green', 'berry', 'apple', 'acidic', 'sweet'})",8
SML0327,22,1,CCOC(=O)CC1=CC=CC=C1,DULCUDSUACXJJC-UHFFFAOYSA-N,"honey, sweet, floral, rose, cocoa, anisic, balsamic","frozenset({'anisic', 'honey', 'balsamic', 'floral', 'rose', 'cocoa', 'sweet'})",7
SML0328,8,1,CCOC(=O)C1CCCCC1,JJOYCHKVKWDMEA-UHFFFAOYSA-N,"apple, berry, brandy, cheesy, fermented, fruity, winey","frozenset({'brandy', 'fruity', 'fermented', 'winey', 'berry', 'apple', 'cheesy'})",7
SML0329,14,1,C1=COC(=C1)CS,ZFFTZDQKIXPDAF-UHFFFAOYSA-N,"alliaceous, burnt, caramellic, coffee, meaty, sulfurous, fatty, chicken, smoky, savory, oily","frozenset({'oily', 'burnt', 'smoky', 'sulfurous', 'savory', 'chicken', 'fatty', 'caramellic', 'alliaceous', 'coffee', 'meaty'})",11
SML0333,5,1,CCCC(=O)OC,UUIQMZJEGPQKFD-UHFFFAOYSA-N,"apple, buttery, ethereal, fermented, fruity, sweet, banana, pineapple, creamy, pungent","frozenset({'fruity', 'ethereal', 'creamy', 'pineapple', 'pungent', 'buttery', 'fermented', 'apple', 'banana', 'sweet'})",10
SML0337,5,1,CCC(=O)C(=O)C,TZMFJUDUGYTVRY-UHFFFAOYSA-N,"buttery, fatty, oily, sweet, caramellic, nutty, creamy, pungent, cheesy","frozenset({'oily', 'creamy', 'pungent', 'buttery', 'nutty', 'fatty', 'caramellic', 'cheesy', 'sweet'})",9
SML0339,14,1,C1=CSC(=C1)CS,GCZQHDFWKVMZOE-UHFFFAOYSA-N,"coffee, meaty, sulfurous, fishy","frozenset({'sulfurous', 'fishy', 'coffee', 'meaty'})",4
SML0340,12,1,COC(=O)/C=C/C1=CC=CC=C1,CCRCUPLGCSFEDV-BQYQJAHWSA-N,"balsamic, fruity, sweet, strawberry, cherry","frozenset({'fruity', 'strawberry', 'balsamic', 'cherry', 'sweet'})",5
SML0341,34,1,C1=COC(=C1)CSCC2=CC=CO2,UYLKDZXJEKFFHJ-UHFFFAOYSA-N,"burnt, coffee, earthy, meaty, mushroom, roasted, savory, sulfurous, cocoa, nutty","frozenset({'burnt', 'sulfurous', 'roasted', 'savory', 'mushroom', 'nutty', 'earthy', 'cocoa', 'coffee', 'meaty'})",10
SML0342,21,1,CSSCC1=CC=CC=C1,NWYGPVZOBBHKLI-UHFFFAOYSA-N,"cabbage, green, metallic, onion, sulfurous, vegetable","frozenset({'onion', 'cabbage', 'vegetable', 'green', 'sulfurous', 'metallic'})",6
SML0343,11,1,CSSCC1=CC=CO1,CLSLQQCDHOZMDT-UHFFFAOYSA-N,"coffee, meaty, onion, roasted, sulfurous, garlic, alliaceous","frozenset({'onion', 'roasted', 'garlic', 'sulfurous', 'alliaceous', 'coffee', 'meaty'})",7
SML0346,15,1,C1=CC=C(C=C1)CS,UENWRTRMUIOCKN-UHFFFAOYSA-N,"garlic, onion, sulfurous, horseradish, alliaceous, coffee, minty, sharp","frozenset({'onion', 'sulfurous', 'sharp', 'garlic', 'alliaceous', 'horseradish', 'minty', 'coffee'})",8
SML0347,9,1,CSCC1=CC=CO1,SKSFHXVDHVKIBN-UHFFFAOYSA-N,"garlic, onion, radish, vegetable, sulfurous, horseradish, alliaceous, pungent","frozenset({'radish', 'onion', 'vegetable', 'pungent', 'garlic', 'sulfurous', 'alliaceous', 'horseradish'})",8
SML0348,26,1,C1=CC=C(C=C1)CCCO,VAJVDSVGBWFCLW-UHFFFAOYSA-N,"balsamic, floral, sweet, spicy, hyacinth","frozenset({'balsamic', 'spicy', 'floral', 'hyacinth', 'sweet'})",5
SML0349,12,1,C1=COC(=C1)CO,XPFVYQJUAUNWIW-UHFFFAOYSA-N,"sweet, musty, estery, sulfurous, caramellic, coffee, bready, brown, chemical, alcoholic","frozenset({'alcoholic', 'brown', 'chemical', 'caramellic', 'sulfurous', 'estery', 'bready', 'musty', 'sweet', 'coffee'})",10
SML0350,12,1,C1=CC=C(C=C1)CO,WVDDGKGOMKODPV-UHFFFAOYSA-N,"almond, fruity, sweet, floral, rose, phenolic, balsamic, chemical","frozenset({'almond', 'fruity', 'phenolic', 'balsamic', 'rose', 'floral', 'chemical', 'sweet'})",8
SML0351,19,1,C1=COC(=C1)C=O,HYBBIBNJHNGZAN-UHFFFAOYSA-N,"almond, caramellic, spicy, sweet, bready, brown, phenolic, woody","frozenset({'almond', 'phenolic', 'spicy', 'brown', 'bready', 'caramellic', 'woody', 'sweet'})",8
SML0357,11,1,CC1=CC[C@@H](CC1)C(=C)C,XMGQYMWWDOXHJM-JTQLQIEISA-N,"citrus, fresh, gasoline, orange, sweet","frozenset({'orange', 'citrus', 'fresh', 'gasoline', 'sweet'})",5
SML0360,10,1,CC1=CCOC1=O,VGHBEMPMIVEGJP-UHFFFAOYSA-N,,frozenset(),0
SML0362,11,1,C[C@@H](CCC=C(C)C)CC=O,NEHNMFOYXAPHSD-JTQLQIEISA-N,"herbal, clean, citrus","frozenset({'citrus', 'herbal', 'clean'})",3
SML0363,2,1,CC(CO)CS,FCIVYWQHILCTLI-UHFFFAOYSA-N,,frozenset(),0
SML0364,9,1,CCCCC(C(C)CO)S,OCZSUTGSYBERRF-UHFFFAOYSA-N,,frozenset(),0
SML0365,3,1,CC(CO)C(C)S,RFMHFOPFUZZBAD-UHFFFAOYSA-N,"green, meaty, onion, sulfurous","frozenset({'sulfurous', 'green', 'onion', 'meaty'})",4
