rank,taxid,pct_odorant,pct_background,odds_ratio,n_odorant,n_background,p,q,taxon
genus,3705,0.24271844660194175,0.0807065730296857,3.012302801977867,1,124,0.28457533791663087,1.0,Brassica
genus,99105,0.24271844660194175,0.0937237622280221,2.5935894836442284,1,144,0.32191652896332346,1.0,Tanacetum
genus,111782,0.0,0.022780081097088706,0.0,0,35,1.0,1.0,Tolypothrix
genus,43574,0.0,0.0872151676288539,0.0,0,134,1.0,1.0,Uncaria
genus,4173,0.0,0.03384469191567465,0.0,0,52,1.0,1.0,Veronica
genus,1465383,0.0,0.027336097316506446,0.0,0,42,1.0,1.0,Volkameria
genus,68528,0.0,0.022780081097088706,0.0,0,35,1.0,1.0,Boronia
genus,205093,0.0,0.12171071900444537,0.0,0,187,1.0,1.0,Cladiella
genus,3582,0.0,0.06834024329126612,0.0,0,105,1.0,1.0,Portulaca
genus,3701,0.24271844660194175,0.18809838391596104,1.29108680827419,1,289,0.5403713636661456,1.0,Arabidopsis
genus,16046,0.0,0.017573205417754145,0.0,0,27,1.0,1.0,Chlorophytum
genus,3504,0.0,0.06899110275118293,0.0,0,106,1.0,1.0,Betula
genus,13596,0.0,0.05597391355284653,0.0,0,86,1.0,1.0,Ligustrum
genus,3526,0.0,0.09893063790735666,0.0,0,152,1.0,1.0,Phytolacca
genus,49647,0.0,0.026034378396672806,0.0,0,40,1.0,1.0,Primula
genus,46977,0.0,0.03514641083550829,0.0,0,54,1.0,1.0,Pulsatilla
genus,58440,0.0,0.017573205417754145,0.0,0,27,1.0,1.0,Tarenna
genus,4038,0.24271844660194175,0.050116178413595155,4.852466268524663,1,77,0.18855003348258229,1.0,Daucus
genus,3564,0.24271844660194175,0.031241254076007367,7.785634630981346,1,48,0.12299284229922955,1.0,Amaranthus
genus,40459,0.0,0.06703852437143247,0.0,0,103,1.0,1.0,Hericium
genus,4678,2.912621359223301,0.21803791907213477,13.729074626865671,12,335,2.6795950685859924e-10,3.920247585341307e-08,Allium
genus,3588,0.0,0.017573205417754145,0.0,0,27,1.0,1.0,Basella
genus,4464,0.24271844660194175,0.05727563247268017,4.245603848706039,1,88,0.21211719338395965,1.0,Acorus
genus,3815,0.4854368932038835,0.059228210852430636,8.231144465290807,2,91,0.026010125855136935,1.0,Abrus
genus,20685,0.0,0.016271486497920505,0.0,0,25,1.0,1.0,Indigofera
genus,109562,0.0,0.03254297299584101,0.0,0,50,1.0,1.0,Euryops
genus,21496,0.0,0.0839608703292698,0.0,0,129,1.0,1.0,Gentiana
genus,155231,0.0,0.11845642170486127,0.0,0,182,1.0,1.0,Sideritis
genus,39241,0.0,0.05597391355284653,0.0,0,86,1.0,1.0,Swertia
genus,3808,0.0,0.0676893838313493,0.0,0,104,1.0,1.0,Acacia
genus,4246,0.0,0.059228210852430636,0.0,0,91,1.0,1.0,Arnica
genus,41479,0.0,0.10934438926602578,0.0,0,168,1.0,1.0,Aster
genus,41487,0.24271844660194175,0.20111557311429742,1.2073638375105316,1,309,0.5643865174580418,1.0,Baccharis
genus,22774,0.0,0.05076703787351197,0.0,0,78,1.0,1.0,Berberis
genus,73121,0.0,0.1262667352238631,0.0,0,194,1.0,1.0,Calophyllum
genus,23159,0.0,0.03384469191567465,0.0,0,52,1.0,1.0,Crataegus
genus,53720,0.0,0.04686188111401105,0.0,0,72,1.0,1.0,Helenium
genus,1006602,0.0,0.031241254076007367,0.0,0,48,1.0,1.0,Phlomoides
genus,13820,0.0,0.025383518936755986,0.0,0,39,1.0,1.0,Pteris
genus,18794,0.0,0.2525334704477262,0.0,0,388,0.6314543703457588,1.0,Senecio
genus,137301,0.0,0.014318908118170043,0.0,0,22,1.0,1.0,Styphnolobium
genus,40144,0.0,0.06703852437143247,0.0,0,103,1.0,1.0,Tricholoma
genus,201006,0.0,0.213481902852717,0.0,0,328,1.0,1.0,Aglaia
genus,142579,0.0,0.013668048658253223,0.0,0,21,1.0,1.0,Bonamia
genus,200992,0.0,0.021478362177255066,0.0,0,33,1.0,1.0,Fumaria
genus,23109,0.0,0.03384469191567465,0.0,0,52,1.0,1.0,Hydrangea
genus,306424,0.0,0.022780081097088706,0.0,0,35,1.0,1.0,Syzygiella
genus,3468,0.0,0.07029282167101658,0.0,0,108,1.0,1.0,Papaver
genus,71962,0.0,0.031241254076007367,0.0,0,48,1.0,1.0,Omphalotus
genus,3445,0.0,0.014318908118170043,0.0,0,22,1.0,1.0,Ranunculus
genus,178174,0.0,0.06118078923218109,0.0,0,94,1.0,1.0,Syzygium
genus,53845,0.0,0.014318908118170043,0.0,0,22,1.0,1.0,Caesalpinia
genus,71297,0.0,0.03254297299584101,0.0,0,50,1.0,1.0,Chromodoris
genus,3287,0.0,0.05467219463301289,0.0,0,84,1.0,1.0,Dryopteris
genus,1763,0.0,0.031241254076007367,0.0,0,48,1.0,1.0,Mycobacterium
genus,4697,0.0,0.022129221637171886,0.0,0,34,1.0,1.0,Narcissus
genus,95729,0.0,0.016271486497920505,0.0,0,25,1.0,1.0,Stemphylium
genus,6499,0.0,0.16271486497920504,0.0,0,250,1.0,1.0,Aplysia
genus,4048,0.0,0.028637816236340086,0.0,0,44,1.0,1.0,Hydrocotyle
genus,83938,0.0,0.023430940557005526,0.0,0,36,1.0,1.0,Crescentia
