comparison,tag,n_I,n_II,pct_I,pct_II,gap,p,q,stars
full bags,malty,1,1,0.3389830508474576,0.33222591362126247,0.006757137226195142,,,
full bags,cortex,1,1,0.3389830508474576,0.33222591362126247,0.006757137226195142,,,
full bags,nutty,25,26,8.474576271186441,8.637873754152825,-0.16329748296638336,,,
full bags,aldehydic,20,21,6.779661016949152,6.976744186046512,-0.19708316909735935,,,
full bags,waxy,66,68,22.372881355932204,22.591362126245848,-0.21848077031364355,,,
full bags,coffee,12,13,4.067796610169491,4.318936877076412,-0.25114026690692093,,,
full bags,cherry,10,11,3.389830508474576,3.654485049833887,-0.2646545413593109,,,
full bags,peach,10,11,3.389830508474576,3.654485049833887,-0.2646545413593109,,,
full bags,cocoa,8,9,2.711864406779661,2.990033222591362,-0.2781688158117013,,,
full bags,potato,7,8,2.3728813559322033,2.6578073089700998,-0.2849259530378965,,,
full bags,violet,6,7,2.0338983050847457,2.3255813953488373,-0.29168309026409167,,,
full bags,natural,4,5,1.3559322033898304,1.6611295681063123,-0.30519736471648184,,,
full bags,anise,4,5,1.3559322033898304,1.6611295681063123,-0.30519736471648184,,,
full bags,brown,3,4,1.0169491525423728,1.3289036544850499,-0.31195450194267704,,,
full bags,chemical,3,4,1.0169491525423728,1.3289036544850499,-0.31195450194267704,,,
full bags,jammy,3,4,1.0169491525423728,1.3289036544850499,-0.31195450194267704,,,
full bags,peppery,2,3,0.6779661016949152,0.9966777408637874,-0.31871163916887213,,,
full bags,marine,2,3,0.6779661016949152,0.9966777408637874,-0.31871163916887213,,,
full bags,gasoline,2,3,0.6779661016949152,0.9966777408637874,-0.31871163916887213,,,
full bags,terpenic,2,3,0.6779661016949152,0.9966777408637874,-0.31871163916887213,,,
full bags,ozone,2,3,0.6779661016949152,0.9966777408637874,-0.31871163916887213,,,
full bags,weedy,2,3,0.6779661016949152,0.9966777408637874,-0.31871163916887213,,,
full bags,orangeflower,1,2,0.3389830508474576,0.6644518272425249,-0.3254687763950673,,,
full bags,animal,11,13,3.7288135593220337,4.318936877076412,-0.5901233177543785,,,
full bags,anisic,9,11,3.0508474576271185,3.654485049833887,-0.6036375922067685,,,
full bags,mushroom,9,11,3.0508474576271185,3.654485049833887,-0.6036375922067685,,,
full bags,vanilla,8,10,2.711864406779661,3.3222591362126246,-0.6103947294329637,,,
full bags,soapy,8,10,2.711864406779661,3.3222591362126246,-0.6103947294329637,,,
full bags,warm,7,9,2.3728813559322033,2.990033222591362,-0.6171518666591589,,,
full bags,grape,6,8,2.0338983050847457,2.6578073089700998,-0.6239090038853541,,,
full bags,amber,6,8,2.0338983050847457,2.6578073089700998,-0.6239090038853541,,,
full bags,ketonic,5,7,1.694915254237288,2.3255813953488373,-0.6306661411115493,,,
full bags,strawberry,4,6,1.3559322033898304,1.9933554817275747,-0.6374232783377443,,,
full bags,cooling,3,5,1.0169491525423728,1.6611295681063123,-0.6441804155639395,,,
full bags,hawthorn,3,5,1.0169491525423728,1.6611295681063123,-0.6441804155639395,,,
full bags,fishy,2,4,0.6779661016949152,1.3289036544850499,-0.6509375527901347,,,
full bags,leathery,1,3,0.3389830508474576,0.9966777408637874,-0.6576946900163297,,,
full bags,aromatic,1,3,0.3389830508474576,0.9966777408637874,-0.6576946900163297,,,
full bags,oily,42,45,14.23728813559322,14.950166112956811,-0.7128779773635916,,,
full bags,coconut,18,21,6.101694915254237,6.976744186046512,-0.8750492707922746,,,
full bags,phenolic,14,17,4.745762711864407,5.647840531561462,-0.9020778196970554,,,
full bags,camphoreous,4,7,1.3559322033898304,2.3255813953488373,-0.9696491919590069,,,
full bags,medicinal,4,7,1.3559322033898304,2.3255813953488373,-0.9696491919590069,,,
full bags,leafy,4,7,1.3559322033898304,2.3255813953488373,-0.9696491919590069,,,
full bags,raspberry,3,6,1.0169491525423728,1.9933554817275747,-0.9764063291852019,,,
full bags,hay,3,6,1.0169491525423728,1.9933554817275747,-0.9764063291852019,,,
full bags,metallic,11,15,3.7288135593220337,4.983388704318937,-1.2545751449969034,,,
full bags,clean,9,13,3.0508474576271185,4.318936877076412,-1.2680894194492938,,,
full bags,lemon,7,11,2.3728813559322033,3.654485049833887,-1.2816036939016837,,,
full bags,geranium,4,8,1.3559322033898304,2.6578073089700998,-1.3018751055802693,,,
full bags,cucumber,2,6,0.6779661016949152,1.9933554817275747,-1.3153893800326595,,,
full bags,green,90,96,30.508474576271187,31.893687707641195,-1.3852131313700085,,,
full bags,jasmine,16,21,5.423728813559322,6.976744186046512,-1.5530153724871898,,,
full bags,minty,11,16,3.7288135593220337,5.3156146179401995,-1.5868010586181658,,,
full bags,vegetable,18,24,6.101694915254237,7.973421926910299,-1.8717270116560618,,,
full bags,melon,8,14,2.711864406779661,4.651162790697675,-1.9392983839180138,,,
full bags,sweet,144,153,48.813559322033896,50.83056478405316,-2.017005462019263,,,
full bags,rose,33,40,11.186440677966102,13.289036544850498,-2.1025958668843963,,,
full bags,spicy,31,39,10.508474576271187,12.956810631229235,-2.448336054958048,,,
