sml,SMILES,cluster,MolWt,LogP,TPSA,HBD,HBA,OxygenAtoms,RotBonds,FracCSP3,AromaticRings,RingCount,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur,cluster_name
SML0095,CCCCCCCCCC=O,1,156.269,3.3260000000000023,17.07,0,1,1,8,0.9,0,0,0,0,1,0,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0096,CC(=O)C(=O)C,5,86.08999999999999,0.1644,34.14,0,2,2,1,0.5,0,0,0,0,0,1,0,0,0,0,0,Fermented / Solvent
SML0097,C=CCSCC=C,5,114.21299999999998,2.0916,0.0,0,1,0,4,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,Fermented / Solvent
SML0098,C1=CC=C(C=C1)OC2=CC=CC=C2,5,170.21099999999998,3.478900000000001,9.23,0,1,1,2,0.0,2,2,0,0,0,0,0,1,1,0,0,Fermented / Solvent
SML0099,C1CCCCCC(=O)OCCOC(=O)CCCCC1,0,270.36899999999997,3.377500000000002,52.6,0,4,4,0,0.8666666666666667,0,1,0,1,0,0,0,1,0,0,0,Floral / Balsamic
SML0100,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,0,206.24099999999996,2.349,35.53,0,3,3,4,0.25,1,1,0,1,0,0,0,1,1,0,0,Floral / Balsamic
SML0101,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,2,152.237,2.401700000000001,17.07,0,1,1,0,0.9,0,2,0,0,0,1,0,0,0,0,0,Acid / Dairy / Cheese
SML0102,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CCC4=CC(=O)CC[C@]34C,4,270.41599999999994,4.684400000000005,17.07,0,1,1,0,0.7368421052631579,0,4,0,0,0,1,0,0,0,0,0,Roasted / Phenolic / Spice
SML0103,CC(=CCC/C(=C/COC(=O)C)/C)C,0,196.29,3.242200000000002,26.3,0,2,2,5,0.5833333333333334,0,0,0,1,0,0,0,1,0,0,0,Floral / Balsamic
SML0104,COC1=CC=CC=C1O,3,124.13899999999997,1.4008,29.46,1,2,2,1,0.14285714285714285,1,1,0,0,0,0,1,1,1,0,0,Smoky
SML0105,CCCCCCCOC(=O)C,3,158.24099999999999,2.5199000000000007,26.3,0,2,2,6,0.8888888888888888,0,0,0,1,0,0,0,1,0,0,0,Smoky
SML0106,CCCCCCOC(=O)CCC,5,172.26799999999997,2.910000000000001,26.3,0,2,2,7,0.9,0,0,0,1,0,0,0,1,0,0,0,Fermented / Solvent
SML0107,CC(=O)O[C@H]1C[C@H]2CC[C@]1(C2(C)C)C,2,196.29,2.7643000000000013,26.3,0,2,2,1,0.9166666666666666,0,2,0,1,0,0,0,1,0,0,0,Acid / Dairy / Cheese
SML0108,CC(C)C=O,2,72.107,0.8412999999999999,17.07,0,1,1,1,0.75,0,0,0,0,1,0,0,0,0,0,0,Acid / Dairy / Cheese
SML0109,CC(C)C(=O)O,2,88.10599999999998,0.727,37.3,1,1,2,1,0.75,0,0,1,0,0,0,0,0,0,0,0,Acid / Dairy / Cheese
SML0110,C/C=C/C1=CC(=C(C=C1)O)OC,0,164.20399999999998,2.4339000000000013,29.46,1,2,2,2,0.2,1,1,0,0,0,0,1,1,1,0,0,Floral / Balsamic
SML0111,CS,2,48.11000000000001,0.546,0.0,1,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1,Acid / Dairy / Cheese
SML0112,COC(=O)C1=CC=CC=C1O,2,152.14899999999997,1.1787999999999998,46.53,1,3,3,1,0.125,1,1,0,1,0,0,1,1,1,0,0,Acid / Dairy / Cheese
SML0113,CCCCCCCCOC(=O)C,2,172.268,2.910000000000002,26.3,0,2,2,7,0.9,0,0,0,1,0,0,0,1,0,0,0,Acid / Dairy / Cheese
SML0114,C1=CC=C(C=C1)CC=O,0,120.15099999999997,1.428,17.07,0,1,1,2,0.125,1,1,0,0,1,0,0,0,1,0,0,Floral / Balsamic
SML0115,C1=CN=CC=N1,5,80.09,0.4765999999999999,25.78,0,2,0,0,0.0,1,1,0,0,0,0,0,0,1,0,0,Fermented / Solvent
SML0116,CC1=CCC(CC1)C(C)(C)O,5,154.25300000000001,2.5037000000000007,20.23,1,1,1,1,0.8,0,1,0,0,0,0,1,0,0,0,0,Fermented / Solvent
SML0117,CC1=CCC(CC1)C(C)(C)OC(=O)C,0,196.29,3.0745000000000013,26.3,0,2,2,2,0.75,0,1,0,1,0,0,0,1,0,0,0,Floral / Balsamic
SML0118,COC(=O)C1=CC=CC=C1,4,136.14999999999998,1.4732,26.3,0,2,2,1,0.125,1,1,0,1,0,0,0,1,1,0,0,Roasted / Phenolic / Spice
SML0119,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0,182.135,1.8114200000000005,86.28,0,4,4,2,0.14285714285714285,1,1,0,0,0,0,0,0,1,1,0,Floral / Balsamic
SML0120,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,0,258.405,4.525200000000004,9.23,0,1,1,0,0.6666666666666666,1,3,0,0,0,0,0,1,1,0,0,Floral / Balsamic
SML0121,CC1C(SC(=N1)C)C,4,129.22799999999998,1.9286,12.36,0,2,0,0,0.8333333333333334,0,1,0,0,0,0,0,0,0,0,1,Roasted / Phenolic / Spice
SML0122,CC1=CN=C(C(=N1)C)C,4,122.17099999999999,1.4018599999999999,25.78,0,2,0,0,0.42857142857142855,1,1,0,0,0,0,0,0,1,0,0,Roasted / Phenolic / Spice
SML0123,CC(C)C1=NC=CN=C1OC,4,152.19699999999997,1.6086,35.010000000000005,0,3,1,2,0.5,1,1,0,0,0,0,0,1,1,0,0,Roasted / Phenolic / Spice
SML0124,CC(C)CC1=NC=CN=C1OC,4,166.224,1.6837,35.010000000000005,0,3,1,3,0.5555555555555556,1,1,0,0,0,0,0,1,1,0,0,Roasted / Phenolic / Spice
SML0125,CCCCC(=O)O,2,102.13299999999998,1.2612,37.3,1,1,2,3,0.8,0,0,1,0,0,0,0,0,0,0,0,Acid / Dairy / Cheese
SML0126,CCCCCC/C=C/C=O,1,140.22599999999997,2.711900000000001,17.07,0,1,1,6,0.6666666666666666,0,0,0,0,1,0,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0127,CCC(=O)C=C,3,84.118,1.1515,17.07,0,1,1,2,0.4,0,0,0,0,0,1,0,0,0,0,0,Smoky
SML0128,CC1C(=O)C(=C(O1)C)O,0,128.12699999999998,0.7637,46.53,1,3,3,0,0.5,0,1,0,0,0,1,1,1,0,0,0,Floral / Balsamic
SML0130,CN(C)C,5,59.111999999999995,0.17779999999999996,3.24,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0,Fermented / Solvent
SML0131,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C,1,294.307,3.6199400000000033,103.35,0,5,5,3,0.5,1,1,0,0,0,1,0,0,1,1,0,Fruity / Fatty / Aldehydic
SML0132,CC1C(=O)C(=C(O1)C)OC,4,142.154,0.8521,35.53,0,3,3,1,0.5714285714285714,0,1,0,0,0,1,0,1,0,0,0,Roasted / Phenolic / Spice
SML0133,CCC1=NC=CN=C1C(=O)C,4,150.18099999999998,1.2415999999999998,42.85,0,3,1,2,0.375,1,1,0,0,0,1,0,0,1,0,0,Roasted / Phenolic / Spice
SML0134,CCC1=NC=CN=C1,3,108.14399999999998,1.039,25.78,0,2,0,1,0.3333333333333333,1,1,0,0,0,0,0,0,1,0,0,Smoky
SML0135,C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C,0,218.33999999999995,3.904200000000003,17.07,0,1,1,1,0.6666666666666666,0,2,0,0,0,1,0,0,0,0,0,Floral / Balsamic
SML0136,CC(CC1=CC2=C(C=C1)OCO2)C=O,0,192.21399999999994,1.7927999999999995,35.53,0,3,3,3,0.36363636363636365,1,2,0,0,1,0,0,1,1,0,0,Floral / Balsamic
SML0137,CC1=CCC(CC1O)C(=C)C,4,152.23699999999997,2.2797,20.23,1,1,1,1,0.6,0,1,0,0,0,0,1,0,0,0,0,Roasted / Phenolic / Spice
SML0138,CC(CCC=C(C)C)CC(=O)O,2,170.25199999999998,2.8436000000000003,37.3,1,1,2,5,0.7,0,0,1,0,0,0,0,0,0,0,0,Acid / Dairy / Cheese
SML0139,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,1,154.253,2.6477000000000013,17.07,0,1,1,1,0.9,0,1,0,0,0,1,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0140,CCCCCCCCCO,3,144.258,2.7293000000000016,20.23,1,1,1,7,1.0,0,0,0,0,0,0,1,0,0,0,0,Smoky
SML0141,CC1=CC[C@H](CC1OC(=O)C)C(=C)C,4,194.27399999999997,2.850500000000001,26.3,0,2,2,2,0.5833333333333334,0,1,0,1,0,0,0,1,0,0,0,Roasted / Phenolic / Spice
SML0142,CCCCCCCCC(=O)O,0,158.241,2.821600000000001,37.3,1,1,2,7,0.8888888888888888,0,0,1,0,0,0,0,0,0,0,0,Floral / Balsamic
SML0143,CCCCCC(C=C)O,1,128.21499999999997,2.1136000000000004,20.23,1,1,1,5,0.75,0,0,0,0,0,0,1,0,0,0,0,Fruity / Fatty / Aldehydic
SML0145,C(=CCl)Cl,4,96.944,1.9352,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Roasted / Phenolic / Spice
SML0146,CC(CCCC(C)(C)O)CC=O,1,172.268,2.1527000000000003,37.3,1,2,2,6,0.9,0,0,0,0,1,0,1,0,0,0,0,Fruity / Fatty / Aldehydic
SML0147,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,0,258.405,4.792620000000005,17.07,0,1,1,1,0.6111111111111112,1,2,0,0,0,1,0,0,1,0,0,Floral / Balsamic
SML0148,CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C,0,244.378,4.410500000000004,17.07,0,1,1,1,0.5882352941176471,1,2,0,0,0,1,0,0,1,0,0,Floral / Balsamic
SML0149,CC1C(C2=C(C1(C)C)C(=O)CCC2)(C)C,1,206.32899999999992,3.738100000000003,17.07,0,1,1,0,0.7857142857142857,0,2,0,0,0,1,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0150,CC(=CCCC(=CC=O)C)C,0,152.237,2.878000000000001,17.07,0,1,1,4,0.5,0,0,0,0,1,0,0,0,0,0,0,Floral / Balsamic
SML0151,C[C@H](CCC=C(C)C)CCO,1,156.26899999999998,2.751300000000001,20.23,1,1,1,5,0.8,0,0,0,0,0,0,1,0,0,0,0,Fruity / Fatty / Aldehydic
SML0152,CC(=CCC/C(=C/C#N)/C)C,0,149.237,3.2026800000000017,23.79,0,1,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,Floral / Balsamic
