sml,group,rate_I,rate_II,MolWt,LogP,TPSA,HBD,HBA,AromaticRings,RotBonds,RingCount,FracCSP3,Heteroatoms,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur
SML0679,Class II only,0.0,0.018867924528301886,158.285,2.831200000000002,20.23,1,1,0,6,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0680,Class II only,0.0,0.0215633423180593,197.32199999999997,2.9693000000000014,20.310000000000002,0,1,0,7,1,0.9166666666666666,2,0,0,0,0,0,0,0,0,0
SML0681,Class I only,0.03225806451612903,0.013477088948787063,206.285,2.8184000000000013,26.3,0,2,1,3,1,0.46153846153846156,2,0,1,0,0,0,1,1,0,0
SML0682,shared,0.016129032258064516,0.08086253369272237,170.21099999999998,3.0424000000000015,17.07,0,1,2,1,2,0.08333333333333333,1,0,0,0,1,0,0,1,0,0
SML0683,shared,0.04838709677419355,0.04043126684636118,178.27499999999995,2.637700000000001,20.23,1,1,1,5,1,0.5,1,0,0,0,0,1,0,1,0,0
SML0684,Class II only,0.0,0.018867924528301886,165.28,3.8167800000000023,23.79,0,1,0,7,0,0.7272727272727273,1,0,0,0,0,0,0,0,0,0
SML0686,Class II only,0.0,0.0215633423180593,168.28,2.893800000000002,20.23,1,1,0,2,1,0.8181818181818182,1,0,0,0,0,1,0,0,0,0
SML0687,shared,0.04838709677419355,0.02425876010781671,184.27899999999997,3.052500000000002,26.3,0,2,0,5,1,0.9090909090909091,2,0,1,0,0,0,1,0,0,0
SML0688,shared,0.016129032258064516,0.018867924528301886,153.269,3.3624800000000024,23.79,0,1,0,5,0,0.9,1,0,0,0,0,0,0,0,0,0
SML0689,Class II only,0.0,0.02425876010781671,128.215,2.1152,20.23,1,1,0,5,0,0.75,1,0,0,0,0,1,0,0,0,0
SML0690,Class II only,0.0,0.0215633423180593,142.24200000000002,2.5053000000000005,20.23,1,1,0,6,0,0.7777777777777778,1,0,0,0,0,1,0,0,0,0
SML0691,shared,0.016129032258064516,0.018867924528301886,168.27999999999997,3.0599000000000016,20.23,1,1,0,5,0,0.6363636363636364,1,0,0,0,0,1,0,0,0,0
SML0692,Class II only,0.0,0.04582210242587601,164.24800000000002,2.6541000000000006,9.23,0,1,1,4,1,0.45454545454545453,1,0,0,0,0,0,1,1,0,0
SML0693,Class II only,0.0,0.0215633423180593,151.253,3.282580000000002,23.79,0,1,0,4,0,0.7,1,0,0,0,0,0,0,0,0,0
SML0694,Class II only,0.0,0.0215633423180593,167.296,3.8966800000000035,23.79,0,1,0,7,0,0.9090909090909091,1,0,0,0,0,0,0,0,0,0
SML0695,shared,0.016129032258064516,0.016172506738544475,178.231,2.3858000000000006,26.3,0,2,1,3,1,0.36363636363636365,2,0,1,0,0,0,1,1,0,0
SML0696,shared,0.03225806451612903,0.018867924528301886,206.285,2.8184000000000013,26.3,0,2,1,5,1,0.46153846153846156,2,0,1,0,0,0,1,1,0,0
SML0697,shared,0.016129032258064516,0.018867924528301886,128.215,2.1152,20.23,1,1,0,6,0,0.75,1,0,0,0,0,1,0,0,0,0
SML0698,shared,0.03225806451612903,0.04043126684636118,164.24799999999996,3.022100000000002,17.07,0,1,0,3,1,0.5454545454545454,1,0,0,0,1,0,0,0,0,0
SML0699,Class II only,0.0,0.018867924528301886,156.269,2.8954000000000018,20.23,1,1,0,8,0,0.8,1,0,0,0,0,1,0,0,0,0
SML0700,shared,0.03225806451612903,0.03504043126684636,180.20299999999997,1.8719,35.53,0,3,1,3,1,0.3,3,0,1,0,0,0,1,1,0,0
SML0701,shared,0.22580645161290322,0.0431266846361186,264.409,4.967100000000005,26.3,0,2,0,8,0,0.5882352941176471,2,0,1,0,0,0,1,0,0,0
SML0702,Class II only,0.0,0.018867924528301886,164.248,2.390100000000001,20.23,1,1,1,3,1,0.45454545454545453,1,0,0,0,0,1,0,1,0,0
