rank,taxid,pct_odorant,pct_background,odds_ratio,ci_lo,ci_hi,n_odorant,n_background,p,q,taxon
genus,52858,0.0,0.024859023171226336,4.858589391025132,0.2979917108340321,79.21660238304207,0,38,1.0,1.0,Strophanthus
genus,37991,0.0,0.1184074524734728,1.0296455149019965,0.06404903155138254,16.552473326740138,0,181,1.0,1.0,Xylaria
genus,41660,0.0,0.040559458858316653,2.992421052631579,0.18479954051034558,48.455660287377086,0,62,1.0,1.0,Verbesina
genus,247880,0.0,0.018317174968272038,6.563787068650819,0.4000627239996083,107.69136462368809,0,28,1.0,1.0,Dalea
genus,20145,0.0,0.017662990147976607,6.802514743518415,0.41425020102343746,111.70593694694989,0,27,1.0,1.0,Drypetes
genus,179681,0.0,0.09551098376313276,1.275928331822492,0.0792968315752821,20.530367678080022,0,146,1.0,1.0,Excoecaria
genus,43488,0.0,0.014392066046499457,8.314456684346526,0.5035248109414775,137.29251956148255,0,22,1.0,1.0,Guettarda
genus,41617,0.0,0.015046250866794886,7.960597932237818,0.48272014659282364,131.27920988183405,0,23,1.0,1.0,Osteospermum
genus,69923,0.0,0.032055056194476066,3.778630861862196,0.23267757237753822,61.364105892639024,0,49,1.0,1.0,Penstemon
genus,1622065,0.0,0.030746686553885204,3.9377826451072604,0.24233563127626728,63.986183453272886,0,47,1.0,1.0,Phlegmariurus
genus,3653,1.2254901960784315,0.15177087830853972,8.162381278343458,3.3475902820108967,19.902216974124595,5,232,0.00046987110915077686,0.03158279170294132,Citrullus
genus,59969,0.0,0.01635462050738575,7.336141310869513,0.4458729452486765,120.70472072045065,0,25,1.0,1.0,Aegiceras
genus,99023,0.0,0.015046250866794886,7.960597932237818,0.48272014659282364,131.27920988183405,0,23,1.0,1.0,Ajania
genus,3515,0.0,0.06411011238895213,1.8982969760607398,0.11770512966107005,30.614905397051583,0,98,1.0,1.0,Alnus
genus,25666,0.0,0.024859023171226336,4.858589391025132,0.2979917108340321,79.21660238304207,0,38,1.0,1.0,Araucaria
genus,4216,0.0,0.04710130706127095,2.5795044949985226,0.15954227001501392,41.70583406573954,0,72,1.0,1.0,Arctium
genus,80276,0.0,0.055605709725111536,2.187113029411554,0.1354688557389249,35.31042893460664,0,85,1.0,1.0,Boswellia
genus,39983,0.0,0.03401761065536235,3.562639156029609,0.21955200269001668,57.81043944288514,0,52,1.0,1.0,Bruguiera
genus,12979,0.0,0.022896468710340047,5.269277845777234,0.3226928456601489,86.04246852513235,0,35,1.0,1.0,Butea
genus,112816,0.0,0.20606821839306041,0.5918118740628522,0.03687326103044031,9.498516933250015,0,315,1.0,1.0,Casearia
genus,61134,0.0,0.07784799361515615,1.5644899443314915,0.0971268615703757,25.200328172251943,0,119,1.0,1.0,Ceriops
genus,149357,0.0,0.013083696405908597,9.125742603815267,0.5510182991635482,151.13686459688856,0,20,1.0,1.0,Cissus
genus,5199,0.0,0.014392066046499457,8.314456684346526,0.5035248109414775,137.29251956148255,0,22,1.0,1.0,Cladonia
genus,16399,0.0,0.026167392811817194,4.618598606766701,0.2835225230990664,75.23724343753044,0,40,1.0,1.0,Codonopsis
genus,13442,3.676470588235294,0.03859690439743036,98.85043343252684,55.605172612930176,175.72840314367124,15,59,2.914647426206798e-24,2.118948678852342e-21,Coffea
genus,5455,0.0,0.04644712224097552,2.615598599686727,0.1617531528194653,42.29503979016031,0,71,1.0,1.0,Colletotrichum
genus,3655,0.24509803921568626,0.029438316913294345,8.343816543816544,1.14741618635455,60.674823437913766,1,45,0.11541075734914787,1.0,Cucumis
genus,406287,0.0,0.013083696405908597,9.125742603815267,0.5510182991635482,151.13686459688856,0,20,1.0,1.0,Curio
genus,132436,0.0,0.018971359788567465,6.341244320892891,0.38681452837657604,103.95519451148766,0,29,1.0,1.0,Deguelia
genus,48243,0.0,0.020279729429158327,5.938547920188067,0.36278609655577165,97.20976557586583,0,31,1.0,1.0,Discaria
genus,155633,0.0,0.024859023171226336,4.858589391025132,0.2979917108340321,79.21660238304207,0,38,1.0,1.0,Dysoxylum
genus,32194,0.0,0.022896468710340047,5.269277845777234,0.3226928456601489,86.04246852513235,0,35,1.0,1.0,Echinops
genus,3402,0.24509803921568626,0.1314911488793814,1.8661117019325975,0.260961266827959,13.344405192459305,1,201,0.41654535286476657,1.0,Magnolia
genus,434654,0.0,0.023550653530635474,5.124880535202294,0.31401652500994026,83.64018581271783,0,36,1.0,1.0,Eremanthus
genus,53876,0.0,0.04317619813949837,2.812352177874306,0.1737945801637306,45.50961695665673,0,66,1.0,1.0,Erythrophleum
genus,43486,0.0,0.135416257801154,0.9004763239002521,0.056040822514229045,14.46905262139989,0,207,1.0,1.0,Gardenia
genus,123423,0.0,0.03467179547565778,3.4960248916139514,0.21549969568320929,56.715579128943666,0,53,1.0,1.0,Gymnosporia
genus,335160,0.0,0.022896468710340047,5.269277845777234,0.3226928456601489,86.04246852513235,0,35,1.0,1.0,Halimium
genus,190259,0.0,0.03794271957713493,3.1971147307744614,0.19729165725367032,51.80929971404,0,58,1.0,1.0,Ixeris
genus,179689,0.0,0.013083696405908597,9.125742603815267,0.5510182991635482,151.13686459688856,0,20,1.0,1.0,Joannesia
genus,189218,0.0,0.017008805327681176,7.059259601394887,0.4294804974759218,116.03122007345566,0,26,1.0,1.0,Kleinia
