inchikey,n_organisms,n_aquatic,n_terrestrial,n_mangrove,n_host,n_unassigned,share_aquatic,any_aquatic,marine_db
HSDXVAOHEOSTFZ-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
HUAZGNHGCJGYNP-UHFFFAOYSA-N,9,0,8,0,1,0,0.0,False,False
HUMNYLRZRPPJDN-UHFFFAOYSA-N,392,16,329,1,2,44,0.0463768115942029,True,False
HXDOZKJGKXYMEW-UHFFFAOYSA-N,23,0,18,0,1,4,0.0,False,False
HXYVTAGFYLMHSO-UHFFFAOYSA-N,3,0,1,0,1,1,0.0,False,False
HYBBIBNJHNGZAN-UHFFFAOYSA-N,147,5,125,0,1,16,0.038461538461538464,True,False
HZYHMHHBBBSGHB-ODYTWBPASA-N,45,5,35,0,0,5,0.125,True,False
IAEGWXHKWJGQAZ-UHFFFAOYSA-N,23,2,14,0,0,7,0.125,True,True
ICMAFTSLXCXHRK-UHFFFAOYSA-N,12,0,10,0,1,1,0.0,False,False
IFNDEOYXGHGERA-UHFFFAOYSA-N,4,0,4,0,0,0,0.0,False,False
IJXHLVMUNBOGRR-UHFFFAOYSA-N,14,0,13,0,0,1,0.0,False,False
IOJUPLGTWVMSFF-UHFFFAOYSA-N,26,3,22,0,0,1,0.12,True,False
IPBVNPXQWQGGJP-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
IPCSVZSSVZVIGE-UHFFFAOYSA-N,1585,96,1295,3,6,185,0.06901509705248023,True,True
IVSZLXZYQVIEFR-UHFFFAOYSA-N,34,1,31,0,2,0,0.03125,True,False
IWDCLRJOBJJRNH-UHFFFAOYSA-N,75,0,65,0,4,6,0.0,False,False
IXQGCWUGDFDQMF-UHFFFAOYSA-N,9,0,7,0,0,2,0.0,False,False
IYTXKIXETAELAV-UHFFFAOYSA-N,15,1,14,0,0,0,0.06666666666666667,True,False
JAELLLITIZHOGQ-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
JFLIEFSWGNOPJJ-JTQLQIEISA-N,2,0,0,0,1,1,,False,False
JGHZJRVDZXSNKQ-UHFFFAOYSA-N,29,0,28,0,0,1,0.0,False,False
JHIVVAPYMSGYDF-UHFFFAOYSA-N,16,4,10,0,1,1,0.2857142857142857,True,False
JIMGVOCOYZFDKB-UHFFFAOYSA-N,18,0,14,0,0,4,0.0,False,False
JJOYCHKVKWDMEA-UHFFFAOYSA-N,1,0,0,0,1,0,,False,False
JLIDVCMBCGBIEY-UHFFFAOYSA-N,11,0,10,0,1,0,0.0,False,False
JLPUXFOGCDVKGO-TUAOUCFPSA-N,57,0,8,0,0,49,0.0,False,False
JRFITZGBELIFQM-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
JUCARGIKESIVLB-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
JUJWROOIHBZHMG-UHFFFAOYSA-N,30,1,28,0,1,0,0.034482758620689655,True,False
JZBCTZLGKSYRSF-UHFFFAOYSA-N,4,0,1,0,0,3,0.0,False,True
JZQKTMZYLHNFPL-BLHCBFLLSA-N,154,9,118,0,1,26,0.07086614173228346,True,False
KANZWHBYRHQMKZ-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
KBEBGUQPQBELIU-CMDGGOBGSA-N,27,0,24,0,0,3,0.0,False,False
KBPLFHHGFOOTCA-UHFFFAOYSA-N,278,9,238,0,1,30,0.03643724696356275,True,False
KCDXJAYRVLXPFO-UHFFFAOYSA-N,387,23,308,4,0,52,0.06948640483383686,True,False
KDSNLYIMUZNERS-UHFFFAOYSA-N,3,0,3,0,0,0,0.0,False,False
KFUSEUYYWQURPO-UHFFFAOYSA-N,1,0,0,0,1,0,,False,False
KGEKLUUHTZCSIP-FOGDFJRCSA-N,12,0,12,0,0,0,0.0,False,False
KGEKLUUHTZCSIP-JFGNBEQYSA-N,11,0,11,0,0,0,0.0,False,False
KJIOQYGWTQBHNH-UHFFFAOYSA-N,49,4,41,0,0,4,0.08888888888888889,True,False
KJPRLNWUNMBNBZ-QPJJXVBHSA-N,126,4,107,0,2,13,0.036036036036036036,True,False
KLIDCXVFHGNTTM-UHFFFAOYSA-N,17,0,14,1,0,2,0.0,False,False
KLTVSWGXIAYTHO-UHFFFAOYSA-N,19,1,14,0,1,3,0.06666666666666667,True,False
KLZGKIDSEJWEDW-UHFFFAOYSA-N,5,0,1,0,2,2,0.0,False,False
KMPQYAYAQWNLME-UHFFFAOYSA-N,115,7,98,0,2,8,0.06666666666666667,True,False
KPGXRSRHYNQIFN-UHFFFAOYSA-N,40,1,24,0,1,14,0.04,True,False
KQNPFQTWMSNSAP-UHFFFAOYSA-N,48,1,38,0,1,8,0.02564102564102564,True,True
KRCZYMFUWVJCLI-GUBZILKMSA-N,8,1,7,0,0,0,0.125,True,False
KRCZYMFUWVJCLI-OPRDCNLKSA-N,12,1,8,0,1,2,0.1111111111111111,True,False
KRLBLPBPZSSIGH-CSKARUKUSA-N,1,0,1,0,0,0,0.0,False,False
KSMVZQYAVGTKIV-UHFFFAOYSA-N,298,13,255,0,3,27,0.048507462686567165,True,True
KVFIJIWMDBAGDP-UHFFFAOYSA-N,8,1,6,0,0,1,0.14285714285714285,True,False
KVFQMAZOBTXCAZ-UHFFFAOYSA-N,1,0,0,0,1,0,,False,False
KWKAKUADMBZCLK-UHFFFAOYSA-N,14,0,11,0,1,2,0.0,False,False
KWOLFJPFCHCOCG-UHFFFAOYSA-N,86,1,80,0,1,4,0.012345679012345678,True,False
KYQCOXFCLRTKLS-UHFFFAOYSA-N,5,2,3,0,0,0,0.4,True,False
LBTVHXHERHESKG-UHFFFAOYSA-N,3,0,2,0,1,0,0.0,False,False
LCZUOKDVTBMCMX-UHFFFAOYSA-N,25,0,19,0,2,4,0.0,False,True
LHGVFZTZFXWLCP-UHFFFAOYSA-N,100,1,83,1,2,13,0.011904761904761904,True,False
LHXDLQBQYFFVNW-OIBJUYFYSA-N,22,0,19,0,0,3,0.0,False,False
LHXDLQBQYFFVNW-XCBNKYQSSA-N,49,0,44,0,0,5,0.0,False,False
LIIALPBMIOVAHH-UHFFFAOYSA-N,165,2,143,0,0,20,0.013793103448275862,True,False
LJSQFQKUNVCTIA-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
LNIMMWYNSBZESE-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
LQZZUXJYWNFBMV-UHFFFAOYSA-N,60,3,52,0,1,4,0.05454545454545454,True,True
LRHPLDYGYMQRHN-UHFFFAOYSA-N,99,6,76,0,2,15,0.07317073170731707,True,True
LSDPWZHWYPCBBB-UHFFFAOYSA-N,14,1,8,0,1,4,0.1111111111111111,True,False
LSKONYYRONEBKA-UHFFFAOYSA-N,31,0,25,0,2,4,0.0,False,True
LVBXEMGDVWVTGY-SREVYHEPSA-N,18,0,16,0,0,2,0.0,False,False
LVBXEMGDVWVTGY-VOTSOKGWSA-N,70,3,56,0,1,10,0.05084745762711865,True,False
LWBHHRRTOZQPDM-UHFFFAOYSA-N,13,0,10,0,1,2,0.0,False,False
MBDOYVRWFFCFHM-SNAWJCMRSA-N,173,5,151,0,2,15,0.03205128205128205,True,False
MDHYEMXUFSJLGV-UHFFFAOYSA-N,44,0,36,0,0,8,0.0,False,False
MGSRCZKZVOBKFT-UHFFFAOYSA-N,663,22,590,1,1,49,0.03594771241830065,True,False
MLFHJEHSLIIPHL-UHFFFAOYSA-N,30,0,25,0,1,4,0.0,False,False
MMFCJPPRCYDLLZ-CMDGGOBGSA-N,79,5,64,0,0,10,0.07246376811594203,True,False
MMKRHZKQPFCLLS-UHFFFAOYSA-N,19,1,14,0,0,4,0.06666666666666667,True,False
MMSLOZQEMPDGPI-UHFFFAOYSA-N,135,3,121,0,1,10,0.024193548387096774,True,False
MMXKVMNBHPAILY-UHFFFAOYSA-N,23,0,21,0,1,1,0.0,False,False
MNWFXJYAOYHMED-UHFFFAOYSA-N,103,11,77,0,5,10,0.125,True,False
MQTAVJHICJWXBR-UHFFFAOYSA-N,5,0,1,0,1,3,0.0,False,False
MSTDXOZUKAQDRL-UHFFFAOYSA-N,2,0,1,0,0,1,0.0,False,False
MTZQAGJQAFMTAQ-UHFFFAOYSA-N,67,5,54,1,0,7,0.0847457627118644,True,False
MUMGGOZAMZWBJJ-DYKIIFRCSA-N,19,1,12,0,3,3,0.07692307692307693,True,False
MUMGGOZAMZWBJJ-KZYORJDKSA-N,2,0,1,0,1,0,0.0,False,False
MVLVMROFTAUDAG-UHFFFAOYSA-N,19,1,17,0,0,1,0.05555555555555555,True,False
MWKFXSUHUHTGQN-UHFFFAOYSA-N,71,0,68,0,1,2,0.0,False,False
MWOOGOJBHIARFG-UHFFFAOYSA-N,678,40,558,1,1,78,0.06688963210702341,True,True
MWVFCEVNXHTDNF-UHFFFAOYSA-N,4,0,1,0,1,2,0.0,False,True
MYHGOWDLVRDUFA-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
NDFKTBCGKNOHPJ-AATRIKPKSA-N,83,5,67,0,1,10,0.06944444444444445,True,False
NDVASEGYNIMXJL-NXEZZACHSA-N,256,7,235,0,0,14,0.028925619834710745,True,False
NEHNMFOYXAPHSD-JTQLQIEISA-N,50,1,48,0,0,1,0.02040816326530612,True,False
NEHNMFOYXAPHSD-SNVBAGLBSA-N,230,16,184,0,0,30,0.08,True,False
NFLGAXVYCFJBMK-BDAKNGLRSA-N,137,0,131,0,0,6,0.0,False,False
NFLGAXVYCFJBMK-DTWKUNHWSA-N,80,0,78,0,0,2,0.0,False,False
NGAZZOYFWWSOGK-UHFFFAOYSA-N,2,0,1,0,1,0,0.0,False,False
NGSWKAQJJWESNS-ZZXKWVIFSA-N,1152,40,1030,1,2,79,0.037383177570093455,True,True
NJGBTKGETPDVIK-UHFFFAOYSA-N,58,1,49,0,0,8,0.02,True,False
NMJJFJNHVMGPGM-UHFFFAOYSA-N,7,0,6,0,1,0,0.0,False,False
NNWHUJCUHAELCL-SNAWJCMRSA-N,56,1,53,0,0,2,0.018518518518518517,True,False
NOOLISFMXDJSKH-AEJSXWLSSA-N,57,0,52,0,0,5,0.0,False,False
NOOLISFMXDJSKH-KXUCPTDWSA-N,111,0,104,0,1,6,0.0,False,False
NPAGDVCDWIYMMC-IZPLOLCNSA-N,1,0,0,0,1,0,,False,False
NPFVOOAXDOBMCE-PLNGDYQASA-N,37,0,32,1,0,4,0.0,False,False
NQPDZGIKBAWPEJ-UHFFFAOYSA-N,62,2,51,0,2,7,0.03773584905660377,True,False
NTOPKICPEQUPPH-UHFFFAOYSA-N,10,0,9,0,0,1,0.0,False,False
NTPLXRHDUXRPNE-UHFFFAOYSA-N,20,0,19,0,0,1,0.0,False,False
NTYJJOPFIAHURM-UHFFFAOYSA-N,92,11,69,0,2,10,0.1375,True,False
NUJGJRNETVAIRJ-UHFFFAOYSA-N,254,13,216,0,4,21,0.056768558951965066,True,False
NUKZAGXMHTUAFE-UHFFFAOYSA-N,43,0,40,0,1,2,0.0,False,False
NUPSHWCALHZGOV-UHFFFAOYSA-N,84,2,73,0,0,9,0.02666666666666667,True,False
NVIPUOMWGQAOIT-RQOWECAXSA-N,1,0,1,0,0,0,0.0,False,False
NVLPQIPTCCLBEU-UHFFFAOYSA-N,23,0,20,0,2,1,0.0,False,False
NZGWDASTMWDZIW-MRVPVSSYSA-N,127,1,122,0,1,3,0.008130081300813009,True,False
OBNCKNCVKJNDBV-UHFFFAOYSA-N,44,0,39,0,1,4,0.0,False,False
OFQRUTMGVBMTFQ-UHFFFAOYSA-N,3,0,2,0,1,0,0.0,False,False
OGJYXQFXLSCKTP-LCYFTJDESA-N,13,0,13,0,0,0,0.0,False,False
OGLDWXZKYODSOB-SNVBAGLBSA-N,110,1,101,0,2,6,0.00980392156862745,True,False
OOCCDEMITAIZTP-QPJJXVBHSA-N,56,1,49,0,1,5,0.02,True,True
OSOIQJGOYGSIMF-UHFFFAOYSA-N,11,0,5,0,4,2,0.0,False,False
OSWPMRLSEDHDFF-UHFFFAOYSA-N,158,3,139,0,1,15,0.02112676056338028,True,False
OTGQIQQTPXJQRG-UHFFFAOYSA-N,1,0,0,0,1,0,,False,False
OTMFQLIUPDESAI-UHFFFAOYSA-N,4,0,4,0,0,0,0.0,False,False
OXQOBQJCDNLAPO-UHFFFAOYSA-N,8,0,3,0,0,5,0.0,False,False
PANBRUWVURLWGY-MDZDMXLPSA-N,21,1,15,0,1,4,0.0625,True,False
PBGWNXWNCSSXCO-UHFFFAOYSA-N,10,0,10,0,0,0,0.0,False,False
PETRWTHZSKVLRE-UHFFFAOYSA-N,14,0,12,0,1,1,0.0,False,False
PFCHFHIRKBAQGU-UHFFFAOYSA-N,6,0,3,0,1,2,0.0,False,False
PFRGXCVKLLPLIP-UHFFFAOYSA-N,35,0,33,0,1,1,0.0,False,False
PFWYHTORQZAGCA-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
PGMYKACGEOXYJE-UHFFFAOYSA-N,10,0,6,0,1,3,0.0,False,False
PJXHBTZLHITWFX-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
POIARNZEYGURDG-FNORWQNLSA-N,118,5,105,0,1,7,0.045454545454545456,True,False
POULHZVOKOAJMA-UHFFFAOYSA-N,442,28,368,2,5,39,0.0707070707070707,True,False
PPJSYGVFDJEMRP-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
PPXUHEORWJQRHJ-UHFFFAOYSA-N,15,0,13,0,2,0,0.0,False,False
PQYGSSYFJIJDFK-UHFFFAOYSA-N,3,0,3,0,0,0,0.0,False,False
PRNJXUQTUSFYLV-NTCAYCPXSA-N,5,0,5,0,0,0,0.0,False,False
PROQIPRRNZUXQM-ZXXIGWHRSA-N,3,0,1,0,2,0,0.0,False,False
PSINWXIDJYEXLO-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
PSQYTAPXSHCGMF-BQYQJAHWSA-N,218,10,181,0,2,25,0.05235602094240838,True,False
PXIKRTCSSLJURC-UHFFFAOYSA-N,5,0,5,0,0,0,0.0,False,False
PXRBWNLUQYZAAX-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
PZDOWFGHCNHPQD-OQPGPFOOSA-N,1,0,0,0,1,0,,False,False
QGFSQVPRCWJZQK-UHFFFAOYSA-N,4,0,4,0,0,0,0.0,False,False
QIQXTHQIDYTFRH-UHFFFAOYSA-N,1313,81,1054,4,2,172,0.07136563876651983,True,True
QMVPMAAFGQKVCJ-JTQLQIEISA-N,139,9,110,0,1,19,0.07563025210084033,True,True
QMVPMAAFGQKVCJ-SNVBAGLBSA-N,197,10,165,0,1,21,0.05714285714285714,True,False
QPJVMBTYPHYUOC-UHFFFAOYSA-N,67,3,54,0,0,10,0.05263157894736842,True,False
QQZOPKMRPOGIEB-UHFFFAOYSA-N,47,4,38,0,1,4,0.09523809523809523,True,False
QRNZMFDCKKEPSX-UHFFFAOYSA-N,4,0,4,0,0,0,0.0,False,False
QSJXEFYPDANLFS-UHFFFAOYSA-N,68,5,54,0,1,8,0.0847457627118644,True,False
QTBSBXVTEAMEQO-UHFFFAOYSA-N,117,2,97,0,1,17,0.020202020202020204,True,False
QUKGYYKBILRGFE-UHFFFAOYSA-N,108,8,83,0,2,15,0.08791208791208792,True,False
QUNOTZOHYZZWKQ-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,True
QUOGESRFPZDMMT-YFKPBYRVSA-N,11,0,7,0,2,2,0.0,False,False
QXZGBUJJYSLZLT-FDISYFBBSA-N,2,0,2,0,0,0,0.0,False,False
RAJWOBJTTGJROA-WZNAKSSCSA-N,3,0,1,0,2,0,0.0,False,False
RBNPOMFGQQGHHO-REOHCLBHSA-N,2,0,1,0,1,0,0.0,False,True
RDOXTESZEPMUJZ-UHFFFAOYSA-N,21,2,14,0,1,4,0.125,True,False
RECUKUPTGUEGMW-UHFFFAOYSA-N,565,16,502,0,2,45,0.03088803088803089,True,False
RFDUMBPGZUIKOG-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
RFMMMVDNIPUKGG-YFKPBYRVSA-N,11,0,5,0,2,4,0.0,False,False
RGXWDWUGBIJHDO-UHFFFAOYSA-N,24,0,19,0,1,4,0.0,False,False
RHLVCLIPMVJYKS-UHFFFAOYSA-N,76,1,57,0,2,16,0.017241379310344827,True,False
RJUFJBKOKNCXHH-UHFFFAOYSA-N,11,0,10,0,1,0,0.0,False,False
RLSSMJSEOOYNOY-UHFFFAOYSA-N,27,2,21,0,1,3,0.08695652173913043,True,False
RRAFCDWBNXTKKO-UHFFFAOYSA-N,648,16,569,0,2,61,0.02735042735042735,True,False
RTNPCOBSXBGDMO-ARJAWSKDSA-N,2,0,2,0,0,0,0.0,False,False
RTUMCNDCAVLXEP-UHFFFAOYSA-N,61,6,48,0,1,6,0.1111111111111111,True,False
RUMOYJJNUMEFDD-JTQLQIEISA-N,83,2,72,0,0,9,0.02702702702702703,True,False
RUMOYJJNUMEFDD-SNVBAGLBSA-N,40,0,37,0,0,3,0.0,False,True
RUVINXPYWBROJD-ONEGZZNKSA-N,180,4,163,0,2,11,0.023952095808383235,True,False
RWCCWEUUXYIKHB-UHFFFAOYSA-N,10,0,6,0,1,3,0.0,False,True
