rank,taxid,mean_share_odorant,mean_share_background,share_ratio,ratio_ci_lo,ratio_ci_hi,p,n_molecules,n_odorant_molecules,n_background_molecules,q,taxon
class,7618,0.00030567063864879104,0.00029313694414206796,1.042757130266899,0.7263952593683443,1.443220162178839,0.9978001099945003,841,1957,263882,0.9978001099945002,Ophiuroidea
class,6544,0.00015670258183367078,0.0013314411765220867,0.11769395794337693,0.0844095060287164,0.15584475626152813,0.12169391530423479,1366,1957,263882,0.40663576577268695,Bivalvia
class,30302,0.00023679477897086085,9.770041659768898e-05,2.423682387619031,1.3258597673551804,4.14429110324987,0.14754262286885655,253,1957,263882,0.4394204202833336,Appendicularia
class,7777,0.00011765016873465472,0.00011263928072280178,1.0444861506545342,0.5413689449320679,1.8707031566102699,0.9834508274586271,253,1957,263882,0.9978001099945002,Chondrichthyes
class,7705,0.00028871015487102363,0.0028754121053753074,0.10040653106082,0.060544144416205294,0.14882194981682942,0.024598770061496925,1727,1957,263882,0.12035826780089566,Holothuroidea
class,8292,0.0011026423288266467,0.0010790318598839829,1.0218811601588877,0.40375659502008665,2.2309570137731285,0.9807009649517524,2474,1957,263882,0.9978001099945002,Amphibia
class,3239874,0.00017156769763181567,0.00015153242785271987,1.132217704573234,0.30222746049002186,2.398660083713337,0.9565021748912554,237,1957,263882,0.9978001099945002,Pichiomycetes
class,2212703,0.00019860049256656114,0.0008366920892916171,0.2373638942071338,0.1106939255292167,0.41618992951434647,0.34203289835508227,807,1957,263882,0.8841227749933258,Mucoromycetes
class,2212704,0.0,2.543363394028663e-05,0.0,0.0,0.0,0.8754562271886406,26,1957,263882,0.9978001099945002,Umbelopsidomycetes
class,119089,0.0033955525767941437,0.0012943997188607566,2.623264303381246,1.6208474413747127,3.9493590031765464,0.008549572521373932,1200,1957,263882,0.06889949620166051,Chromadorea
class,3372,0.001367102459199084,0.0010417393447592546,1.3123267985188949,0.6093529415367658,2.2948980105446375,0.6584670766461677,1412,1957,263882,0.9978001099945002,Gnetopsida
class,142796,0.0004007310715186471,0.0007396601444077736,0.5417772940023717,0.2145388884568906,1.1043756252683306,0.5967701614919254,1164,1957,263882,0.9978001099945002,Eumycetozoa
class,147100,0.0004460073442958077,0.0001282177193769673,3.4785156565179656,0.5228090766100685,10.349161739328473,0.16364181790910454,164,1957,263882,0.4670610219489025,Rhabditophora
class,3239873,1.2984665161314923e-05,0.00010816595268164216,0.1200439217646596,0.032668523596492006,0.27474472231892394,0.7884605769711515,93,1957,263882,0.9978001099945002,Dipodascomycetes
class,8782,0.0003160520693100302,0.00013956882121424522,2.2644890639641804,0.3319751093960013,5.698723148414586,0.12944352782360882,433,1957,263882,0.4124131002752188,Aves
class,7588,0.00017790339481379722,0.004880658791017101,0.03645069291490528,0.017986983478800303,0.059909515402595856,0.0029498525073746312,2655,1957,263882,0.02525811209439528,Asteroidea
